"Status","Year","Parent_department","Ethnicity","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","The National Archives","Mixed","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","The National Archives","Mixed","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","The National Archives","Mixed","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","The National Archives","Other ethnicity","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","The National Archives","Other ethnicity","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","The National Archives","Other ethnicity","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","The National Archives","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","The National Archives","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","The National Archives","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","The National Archives","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","The National Archives","Unknown","Unknown","110","110","34290","29160"
"In post","2021","The National Archives","White","Heterosexual / straight","170","160","37430","34260"
"In post","2021","The National Archives","White","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","The National Archives","White","Undeclared","40","40","[c]","[c]"
"In post","2021","The National Archives","White","Unknown","110","100","36570","34770"
"In post","2021","UK Export Finance","Asian","Heterosexual / straight","60","60","48980","41130"
"In post","2021","UK Export Finance","Asian","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","UK Export Finance","Asian","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","UK Export Finance","Asian","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","UK Export Finance","Black","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","UK Export Finance","Black","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","UK Export Finance","Black","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","UK Export Finance","Black","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","UK Export Finance","Chinese","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","UK Export Finance","Chinese","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","UK Export Finance","Mixed","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","UK Export Finance","Mixed","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","UK Export Finance","Mixed","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","UK Export Finance","Other ethnicity","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","UK Export Finance","Other ethnicity","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","UK Export Finance","Other ethnicity","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","UK Export Finance","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","UK Export Finance","Undeclared","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","UK Export Finance","Undeclared","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","UK Export Finance","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","UK Export Finance","White","Heterosexual / straight","220","210","55390","50400"
"In post","2021","UK Export Finance","White","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","UK Export Finance","White","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","UK Export Finance","White","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","UK Supreme Court","Asian","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","UK Supreme Court","Asian","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","UK Supreme Court","Black","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","UK Supreme Court","Black","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","UK Supreme Court","Chinese","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","UK Supreme Court","Chinese","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","UK Supreme Court","Mixed","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","UK Supreme Court","Mixed","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","UK Supreme Court","Mixed","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","UK Supreme Court","Other ethnicity","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","UK Supreme Court","Other ethnicity","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","UK Supreme Court","Undeclared","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","UK Supreme Court","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","UK Supreme Court","White","Heterosexual / straight","30","30","[c]","[c]"
"In post","2021","UK Supreme Court","White","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","UK Supreme Court","White","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","United Kingdom Statistics Authority","Asian","Heterosexual / straight","110","100","30650","29540"
"In post","2021","United Kingdom Statistics Authority","Asian","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","United Kingdom Statistics Authority","Asian","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","United Kingdom Statistics Authority","Asian","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","United Kingdom Statistics Authority","Black","Heterosexual / straight","60","50","30170","29540"
"In post","2021","United Kingdom Statistics Authority","Black","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","United Kingdom Statistics Authority","Black","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","United Kingdom Statistics Authority","Black","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","United Kingdom Statistics Authority","Chinese","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","United Kingdom Statistics Authority","Chinese","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","United Kingdom Statistics Authority","Chinese","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","United Kingdom Statistics Authority","Chinese","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","United Kingdom Statistics Authority","Mixed","Heterosexual / straight","60","60","32500","29840"
"In post","2021","United Kingdom Statistics Authority","Mixed","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","United Kingdom Statistics Authority","Mixed","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","United Kingdom Statistics Authority","Mixed","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","United Kingdom Statistics Authority","Other ethnicity","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","United Kingdom Statistics Authority","Other ethnicity","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","United Kingdom Statistics Authority","Undeclared","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","United Kingdom Statistics Authority","Undeclared","Undeclared","50","40","34030","28350"
"In post","2021","United Kingdom Statistics Authority","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","United Kingdom Statistics Authority","Unknown","Heterosexual / straight","40","40","[c]","[c]"
"In post","2021","United Kingdom Statistics Authority","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","United Kingdom Statistics Authority","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","United Kingdom Statistics Authority","Unknown","Unknown","1040","950","30260","29540"
"In post","2021","United Kingdom Statistics Authority","White","Heterosexual / straight","3230","2860","33010","29540"
"In post","2021","United Kingdom Statistics Authority","White","LGBO","210","200","33790","30000"
"In post","2021","United Kingdom Statistics Authority","White","Undeclared","140","120","31820","30450"
"In post","2021","United Kingdom Statistics Authority","White","Unknown","500","440","34890","31090"
"In post","2021","Wales Office","Asian","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Wales Office","Asian","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Wales Office","Black","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Wales Office","Black","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Wales Office","Chinese","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Wales Office","Chinese","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Wales Office","Mixed","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Wales Office","Mixed","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Wales Office","Other ethnicity","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Wales Office","Other ethnicity","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Wales Office","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Wales Office","White","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Wales Office","White","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Wales Office","White","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Water Services Regulation Authority","Asian","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Water Services Regulation Authority","Asian","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Water Services Regulation Authority","Asian","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Water Services Regulation Authority","Black","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Water Services Regulation Authority","Black","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Water Services Regulation Authority","Black","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Water Services Regulation Authority","Chinese","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Water Services Regulation Authority","Chinese","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Water Services Regulation Authority","Mixed","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Water Services Regulation Authority","Mixed","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Water Services Regulation Authority","Other ethnicity","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Water Services Regulation Authority","Other ethnicity","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Water Services Regulation Authority","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Water Services Regulation Authority","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Water Services Regulation Authority","Unknown","Unknown","40","40","[c]","[c]"
"In post","2021","Water Services Regulation Authority","White","Heterosexual / straight","70","70","61880","59000"
"In post","2021","Water Services Regulation Authority","White","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Water Services Regulation Authority","White","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Water Services Regulation Authority","White","Unknown","90","80","61430","51630"
"In post","2021","Welsh Government","Asian","Heterosexual / straight","50","40","[c]","[c]"
"In post","2021","Welsh Government","Asian","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Welsh Government","Asian","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Welsh Government","Asian","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Welsh Government","Black","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Welsh Government","Black","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Welsh Government","Black","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Welsh Government","Chinese","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Welsh Government","Chinese","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Welsh Government","Chinese","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Welsh Government","Chinese","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Welsh Government","Mixed","Heterosexual / straight","50","50","40430","37410"
"In post","2021","Welsh Government","Mixed","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Welsh Government","Mixed","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Welsh Government","Other ethnicity","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Welsh Government","Other ethnicity","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Welsh Government","Other ethnicity","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Welsh Government","Undeclared","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Welsh Government","Undeclared","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Welsh Government","Undeclared","Undeclared","200","200","42990","37410"
"In post","2021","Welsh Government","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Welsh Government","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Welsh Government","Unknown","Unknown","190","180","40410","30600"
"In post","2021","Welsh Government","White","Heterosexual / straight","4510","4250","40840","37410"
"In post","2021","Welsh Government","White","LGBO","200","190","41780","37410"
"In post","2021","Welsh Government","White","Undeclared","460","440","42820","37410"
"In post","2021","Welsh Government","White","Unknown","30","30","[c]","[c]"
"In post","2022","Attorney General's Departments","Asian","Heterosexual / straight","890","830","42780","43920"
"In post","2022","Attorney General's Departments","Asian","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Asian","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Asian","Unknown","120","100","42850","40000"
"In post","2022","Attorney General's Departments","Black","Heterosexual / straight","490","470","40160","32160"
"In post","2022","Attorney General's Departments","Black","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Black","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Black","Unknown","80","70","41960","35000"
"In post","2022","Attorney General's Departments","Mixed","Heterosexual / straight","240","220","45570","48830"
"In post","2022","Attorney General's Departments","Mixed","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Mixed","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Mixed","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Other ethnicity","Heterosexual / straight","70","60","45860","48080"
"In post","2022","Attorney General's Departments","Other ethnicity","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Other ethnicity","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Undeclared","Heterosexual / straight","50","50","42980","39140"
"In post","2022","Attorney General's Departments","Undeclared","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Undeclared","Undeclared","130","120","47810","48830"
"In post","2022","Attorney General's Departments","Undeclared","Unknown","30","30","[c]","[c]"
"In post","2022","Attorney General's Departments","Unknown","Heterosexual / straight","150","140","41690","36240"
"In post","2022","Attorney General's Departments","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Unknown","Unknown","900","830","48930","51470"
"In post","2022","Attorney General's Departments","White","Heterosexual / straight","5360","5030","44790","48080"
"In post","2022","Attorney General's Departments","White","LGBO","400","380","44170","41650"
"In post","2022","Attorney General's Departments","White","Undeclared","220","210","45950","50500"
"In post","2022","Attorney General's Departments","White","Unknown","900","800","48050","53350"
"In post","2022","Cabinet Office","Asian","Heterosexual / straight","510","500","45420","40600"
"In post","2022","Cabinet Office","Asian","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office","Asian","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office","Asian","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office","Black","Heterosexual / straight","260","260","42420","37760"
"In post","2022","Cabinet Office","Black","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office","Black","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office","Black","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office","Mixed","Heterosexual / straight","190","190","44950","40600"
"In post","2022","Cabinet Office","Mixed","LGBO","30","30","[c]","[c]"
"In post","2022","Cabinet Office","Mixed","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office","Mixed","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office","Other ethnicity","Heterosexual / straight","50","50","[c]","[c]"
"In post","2022","Cabinet Office","Other ethnicity","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office","Other ethnicity","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office","Undeclared","Heterosexual / straight","60","60","45700","40600"
"In post","2022","Cabinet Office","Undeclared","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office","Undeclared","Undeclared","200","190","46540","40600"
"In post","2022","Cabinet Office","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office","Unknown","Heterosexual / straight","50","50","52100","54700"
"In post","2022","Cabinet Office","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office","Unknown","Unknown","4210","4170","46410","34010"
"In post","2022","Cabinet Office","White","Heterosexual / straight","4400","4280","47680","40600"
"In post","2022","Cabinet Office","White","LGBO","480","480","44190","40600"
"In post","2022","Cabinet Office","White","Undeclared","300","300","48450","49680"
"In post","2022","Cabinet Office","White","Unknown","140","140","52680","51100"
"In post","2022","Chancellor's other departments","Asian","Heterosexual / straight","40","40","[c]","[c]"
"In post","2022","Chancellor's other departments","Asian","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Chancellor's other departments","Asian","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Chancellor's other departments","Black","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Chancellor's other departments","Black","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Chancellor's other departments","Black","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Chancellor's other departments","Mixed","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Chancellor's other departments","Mixed","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Chancellor's other departments","Mixed","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Chancellor's other departments","Other ethnicity","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Chancellor's other departments","Other ethnicity","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Chancellor's other departments","Other ethnicity","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Chancellor's other departments","Undeclared","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Chancellor's other departments","Undeclared","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Chancellor's other departments","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Chancellor's other departments","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Chancellor's other departments","White","Heterosexual / straight","230","220","63580","56480"
"In post","2022","Chancellor's other departments","White","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Chancellor's other departments","White","Undeclared","40","40","[c]","[c]"
"In post","2022","Charity Commission","Asian","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","Asian","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","Asian","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","Black","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","Black","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","Black","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","Mixed","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","Mixed","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","Mixed","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","Other ethnicity","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","Other ethnicity","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","Undeclared","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","Unknown","Unknown","120","110","32910","29160"
"In post","2022","Charity Commission","White","Heterosexual / straight","220","210","34320","29160"
"In post","2022","Charity Commission","White","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","White","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","White","Unknown","70","60","33090","29540"
"In post","2022","Competition and Markets Authority","Asian","Heterosexual / straight","100","100","48690","41980"
"In post","2022","Competition and Markets Authority","Asian","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Competition and Markets Authority","Asian","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Competition and Markets Authority","Asian","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Competition and Markets Authority","Black","Heterosexual / straight","40","40","[c]","[c]"
"In post","2022","Competition and Markets Authority","Black","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Competition and Markets Authority","Black","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Competition and Markets Authority","Black","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Competition and Markets Authority","Mixed","Heterosexual / straight","30","30","[c]","[c]"
"In post","2022","Competition and Markets Authority","Mixed","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Competition and Markets Authority","Mixed","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Competition and Markets Authority","Other ethnicity","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Competition and Markets Authority","Other ethnicity","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Competition and Markets Authority","Undeclared","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Competition and Markets Authority","Undeclared","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Competition and Markets Authority","Undeclared","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Competition and Markets Authority","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Competition and Markets Authority","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Competition and Markets Authority","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Competition and Markets Authority","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Competition and Markets Authority","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Competition and Markets Authority","White","Heterosexual / straight","500","480","65460","60000"
"In post","2022","Competition and Markets Authority","White","LGBO","50","50","58990","54970"
"In post","2022","Competition and Markets Authority","White","Undeclared","30","30","[c]","[c]"
"In post","2022","Competition and Markets Authority","White","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Department for Business, Energy and Industrial Strategy","Asian","Heterosexual / straight","810","790","40130","38670"
"In post","2022","Department for Business, Energy and Industrial Strategy","Asian","LGBO","40","40","[c]","[c]"
"In post","2022","Department for Business, Energy and Industrial Strategy","Asian","Undeclared","40","40","[c]","[c]"
"In post","2022","Department for Business, Energy and Industrial Strategy","Asian","Unknown","60","50","30910","26290"
"In post","2022","Department for Business, Energy and Industrial Strategy","Black","Heterosexual / straight","440","430","38670","34880"
"In post","2022","Department for Business, Energy and Industrial Strategy","Black","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Department for Business, Energy and Industrial Strategy","Black","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Department for Business, Energy and Industrial Strategy","Black","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Department for Business, Energy and Industrial Strategy","Mixed","Heterosexual / straight","280","270","43410","40050"
"In post","2022","Department for Business, Energy and Industrial Strategy","Mixed","LGBO","50","50","[c]","[c]"
"In post","2022","Department for Business, Energy and Industrial Strategy","Mixed","Undeclared","30","30","[c]","[c]"
"In post","2022","Department for Business, Energy and Industrial Strategy","Mixed","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Department for Business, Energy and Industrial Strategy","Other ethnicity","Heterosexual / straight","90","90","45140","40050"
"In post","2022","Department for Business, Energy and Industrial Strategy","Other ethnicity","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Department for Business, Energy and Industrial Strategy","Other ethnicity","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Department for Business, Energy and Industrial Strategy","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Department for Business, Energy and Industrial Strategy","Undeclared","Heterosexual / straight","100","100","40820","39650"
"In post","2022","Department for Business, Energy and Industrial Strategy","Undeclared","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Department for Business, Energy and Industrial Strategy","Undeclared","Undeclared","490","470","45720","41890"
"In post","2022","Department for Business, Energy and Industrial Strategy","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Department for Business, Energy and Industrial Strategy","Unknown","Heterosexual / straight","110","110","37240","36160"
"In post","2022","Department for Business, Energy and Industrial Strategy","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Department for Business, Energy and Industrial Strategy","Unknown","Undeclared","110","100","39210","38730"
"In post","2022","Department for Business, Energy and Industrial Strategy","Unknown","Unknown","1600","1550","36380","33570"
"In post","2022","Department for Business, Energy and Industrial Strategy","White","Heterosexual / straight","7940","7580","42990","40050"
"In post","2022","Department for Business, Energy and Industrial Strategy","White","LGBO","750","740","41700","39750"
"In post","2022","Department for Business, Energy and Industrial Strategy","White","Undeclared","610","580","42600","40050"
"In post","2022","Department for Business, Energy and Industrial Strategy","White","Unknown","400","360","34890","29850"
"In post","2022","Department for Digital, Culture, Media and Sport","Asian","Heterosexual / straight","150","150","44140","38020"
"In post","2022","Department for Digital, Culture, Media and Sport","Asian","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Department for Digital, Culture, Media and Sport","Asian","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Department for Digital, Culture, Media and Sport","Asian","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Department for Digital, Culture, Media and Sport","Black","Heterosexual / straight","90","90","38750","34020"
"In post","2022","Department for Digital, Culture, Media and Sport","Black","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Department for Digital, Culture, Media and Sport","Black","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Department for Digital, Culture, Media and Sport","Black","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Department for Digital, Culture, Media and Sport","Mixed","Heterosexual / straight","80","80","44070","38020"
"In post","2022","Department for Digital, Culture, Media and Sport","Mixed","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Department for Digital, Culture, Media and Sport","Mixed","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Department for Digital, Culture, Media and Sport","Mixed","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Department for Digital, Culture, Media and Sport","Other ethnicity","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Department for Digital, Culture, Media and Sport","Other ethnicity","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Department for Digital, Culture, Media and Sport","Other ethnicity","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Department for Digital, Culture, Media and Sport","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Department for Digital, Culture, Media and Sport","Undeclared","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Department for Digital, Culture, Media and Sport","Undeclared","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Department for Digital, Culture, Media and Sport","Undeclared","Undeclared","30","30","[c]","[c]"
"In post","2022","Department for Digital, Culture, Media and Sport","Undeclared","Unknown","[c]","[c]","[c]","[c]"
