"Status","Year","Profession_of_post","Organisation","Region_ITL2","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Digital, Data and Technology","Crown Prosecution Service","South Yorkshire","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Crown Prosecution Service","Tees Valley and Durham","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Crown Prosecution Service","West Midlands","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Crown Prosecution Service","West Wales and The Valleys","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Crown Prosecution Service","West Yorkshire","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Defence Electronics and Components Agency","East Wales","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Defence Equipment and Support","Bedfordshire and Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Defence Equipment and Support","Berkshire, Buckinghamshire and Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Defence Equipment and Support","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Defence Equipment and Support","East Anglia","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Defence Equipment and Support","Gloucestershire, Wiltshire and Bath/Bristol area","220","220","36520","33120"
"In post","2022","Digital, Data and Technology","Defence Equipment and Support","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Defence Equipment and Support","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Defence Equipment and Support","Outer London - West and North West","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Defence Equipment and Support","Shropshire and Staffordshire","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Defence Equipment and Support","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Defence Equipment and Support","West Central Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Defence Science and Technology Laboratory","Gloucestershire, Wiltshire and Bath/Bristol area","100","100","46990","47010"
"In post","2022","Digital, Data and Technology","Defence Science and Technology Laboratory","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Department for Business, Energy and Industrial Strategy (excl. agencies)","East Wales","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Department for Business, Energy and Industrial Strategy (excl. agencies)","Greater Manchester","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Department for Business, Energy and Industrial Strategy (excl. agencies)","Inner London - West","100","100","46180","40220"
"In post","2022","Digital, Data and Technology","Department for Business, Energy and Industrial Strategy (excl. agencies)","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Department for Business, Energy and Industrial Strategy (excl. agencies)","West Midlands","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Department for Digital, Culture, Media and Sport","East Wales","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Department for Digital, Culture, Media and Sport","Greater Manchester","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Department for Digital, Culture, Media and Sport","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Department for Digital, Culture, Media and Sport","Northumberland, and Tyne and Wear","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Department for Education (excl. agencies)","Derbyshire and Nottinghamshire","30","30","[c]","[c]"
"In post","2022","Digital, Data and Technology","Department for Education (excl. agencies)","Gloucestershire, Wiltshire and Bath/Bristol area","40","40","[c]","[c]"
"In post","2022","Digital, Data and Technology","Department for Education (excl. agencies)","Greater Manchester","150","140","40300","36740"
"In post","2022","Digital, Data and Technology","Department for Education (excl. agencies)","Inner London - West","160","160","46790","45250"
"In post","2022","Digital, Data and Technology","Department for Education (excl. agencies)","Northumberland, and Tyne and Wear","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Department for Education (excl. agencies)","South Yorkshire","160","150","38740","36500"
"In post","2022","Digital, Data and Technology","Department for Education (excl. agencies)","Tees Valley and Durham","110","110","37720","36960"
"In post","2022","Digital, Data and Technology","Department for Education (excl. agencies)","West Midlands","110","100","39380","36500"
"In post","2022","Digital, Data and Technology","Department for Education (excl. agencies)","West Yorkshire","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Department for Environment, Food and Rural Affairs (excl. agencies)","Bedfordshire and Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Department for Environment, Food and Rural Affairs (excl. agencies)","Berkshire, Buckinghamshire and Oxfordshire","80","80","42550","41030"
"In post","2022","Digital, Data and Technology","Department for Environment, Food and Rural Affairs (excl. agencies)","Cheshire","100","100","46140","48370"
"In post","2022","Digital, Data and Technology","Department for Environment, Food and Rural Affairs (excl. agencies)","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Department for Environment, Food and Rural Affairs (excl. agencies)","Cumbria","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Department for Environment, Food and Rural Affairs (excl. agencies)","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Department for Environment, Food and Rural Affairs (excl. agencies)","Devon","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Department for Environment, Food and Rural Affairs (excl. agencies)","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Department for Environment, Food and Rural Affairs (excl. agencies)","East Anglia","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Department for Environment, Food and Rural Affairs (excl. agencies)","East Wales","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Department for Environment, Food and Rural Affairs (excl. agencies)","East Yorkshire and Northern Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Department for Environment, Food and Rural Affairs (excl. agencies)","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Department for Environment, Food and Rural Affairs (excl. agencies)","Gloucestershire, Wiltshire and Bath/Bristol area","190","180","44840","47550"
"In post","2022","Digital, Data and Technology","Department for Environment, Food and Rural Affairs (excl. agencies)","Greater Manchester","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Department for Environment, Food and Rural Affairs (excl. agencies)","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Department for Environment, Food and Rural Affairs (excl. agencies)","Herefordshire, Worcestershire and Warwickshire","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Department for Environment, Food and Rural Affairs (excl. agencies)","Highlands and Islands","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Department for Environment, Food and Rural Affairs (excl. agencies)","Inner London - East","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Department for Environment, Food and Rural Affairs (excl. agencies)","Inner London - West","100","90","47660","42350"
"In post","2022","Digital, Data and Technology","Department for Environment, Food and Rural Affairs (excl. agencies)","Kent","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Department for Environment, Food and Rural Affairs (excl. agencies)","Lancashire","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Department for Environment, Food and Rural Affairs (excl. agencies)","Leicestershire, Rutland and Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Department for Environment, Food and Rural Affairs (excl. agencies)","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Department for Environment, Food and Rural Affairs (excl. agencies)","North Yorkshire","70","70","44680","47550"
"In post","2022","Digital, Data and Technology","Department for Environment, Food and Rural Affairs (excl. agencies)","Northumberland, and Tyne and Wear","50","40","[c]","[c]"
"In post","2022","Digital, Data and Technology","Department for Environment, Food and Rural Affairs (excl. agencies)","Outer London - East and North East","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Department for Environment, Food and Rural Affairs (excl. agencies)","Outer London - West and North West","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Department for Environment, Food and Rural Affairs (excl. agencies)","Shropshire and Staffordshire","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Department for Environment, Food and Rural Affairs (excl. agencies)","South Yorkshire","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Department for Environment, Food and Rural Affairs (excl. agencies)","Southern Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Department for Environment, Food and Rural Affairs (excl. agencies)","Surrey, East and West Sussex","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Department for Environment, Food and Rural Affairs (excl. agencies)","Tees Valley and Durham","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Department for Environment, Food and Rural Affairs (excl. agencies)","West Midlands","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Department for Environment, Food and Rural Affairs (excl. agencies)","West Wales and The Valleys","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Department for Environment, Food and Rural Affairs (excl. agencies)","West Yorkshire","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Department for International Trade","East Wales","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Department for International Trade","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Department for International Trade","Greater Manchester","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Department for International Trade","Inner London - West","150","150","48110","47000"
"In post","2022","Digital, Data and Technology","Department for International Trade","Tees Valley and Durham","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Department for International Trade","West Central Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Department for International Trade","West Midlands","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Department for Levelling Up, Housing and Communities (excl. agencies)","Bedfordshire and Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Department for Levelling Up, Housing and Communities (excl. agencies)","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Department for Levelling Up, Housing and Communities (excl. agencies)","Devon","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Department for Levelling Up, Housing and Communities (excl. agencies)","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Department for Levelling Up, Housing and Communities (excl. agencies)","Greater Manchester","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Department for Levelling Up, Housing and Communities (excl. agencies)","Inner London - West","70","70","52610","53130"
"In post","2022","Digital, Data and Technology","Department for Levelling Up, Housing and Communities (excl. agencies)","Northumberland, and Tyne and Wear","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Department for Levelling Up, Housing and Communities (excl. agencies)","Surrey, East and West Sussex","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Department for Levelling Up, Housing and Communities (excl. agencies)","West Midlands","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Department for Transport (excl. agencies)","Inner London - West","80","80","46890","43130"
"In post","2022","Digital, Data and Technology","Department for Transport (excl. agencies)","Surrey, East and West Sussex","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Department for Transport (excl. agencies)","West Midlands","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Department for Transport (excl. agencies)","West Wales and The Valleys","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Department for Transport (excl. agencies)","West Yorkshire","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Department for Work and Pensions (excl. agencies)","Bedfordshire and Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Department for Work and Pensions (excl. agencies)","Berkshire, Buckinghamshire and Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Department for Work and Pensions (excl. agencies)","Cheshire","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Department for Work and Pensions (excl. agencies)","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Department for Work and Pensions (excl. agencies)","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Department for Work and Pensions (excl. agencies)","Devon","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Department for Work and Pensions (excl. agencies)","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Department for Work and Pensions (excl. agencies)","East Anglia","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Department for Work and Pensions (excl. agencies)","East Wales","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Department for Work and Pensions (excl. agencies)","East Yorkshire and Northern Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Department for Work and Pensions (excl. agencies)","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Department for Work and Pensions (excl. agencies)","Essex","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Department for Work and Pensions (excl. agencies)","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Department for Work and Pensions (excl. agencies)","Greater Manchester","570","560","45890","40460"
"In post","2022","Digital, Data and Technology","Department for Work and Pensions (excl. agencies)","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Department for Work and Pensions (excl. agencies)","Herefordshire, Worcestershire and Warwickshire","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Department for Work and Pensions (excl. agencies)","Highlands and Islands","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Department for Work and Pensions (excl. agencies)","Inner London - East","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Department for Work and Pensions (excl. agencies)","Inner London - West","200","200","50250","44240"
"In post","2022","Digital, Data and Technology","Department for Work and Pensions (excl. agencies)","Kent","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Department for Work and Pensions (excl. agencies)","Lancashire","850","810","42440","37500"
"In post","2022","Digital, Data and Technology","Department for Work and Pensions (excl. agencies)","Leicestershire, Rutland and Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Department for Work and Pensions (excl. agencies)","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Department for Work and Pensions (excl. agencies)","Merseyside","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Department for Work and Pensions (excl. agencies)","North Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Department for Work and Pensions (excl. agencies)","North Yorkshire","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Department for Work and Pensions (excl. agencies)","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Department for Work and Pensions (excl. agencies)","Northumberland, and Tyne and Wear","1390","1330","41910","37360"
"In post","2022","Digital, Data and Technology","Department for Work and Pensions (excl. agencies)","Outer London - East and North East","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Department for Work and Pensions (excl. agencies)","Outer London - South","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Department for Work and Pensions (excl. agencies)","Outer London - West and North West","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Department for Work and Pensions (excl. agencies)","Shropshire and Staffordshire","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Department for Work and Pensions (excl. agencies)","South Yorkshire","210","200","42900","38180"
"In post","2022","Digital, Data and Technology","Department for Work and Pensions (excl. agencies)","Southern Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Department for Work and Pensions (excl. agencies)","Surrey, East and West Sussex","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Department for Work and Pensions (excl. agencies)","Tees Valley and Durham","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Department for Work and Pensions (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Department for Work and Pensions (excl. agencies)","West Central Scotland","40","30","[c]","[c]"
"In post","2022","Digital, Data and Technology","Department for Work and Pensions (excl. agencies)","West Midlands","40","30","[c]","[c]"
"In post","2022","Digital, Data and Technology","Department for Work and Pensions (excl. agencies)","West Wales and The Valleys","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Department for Work and Pensions (excl. agencies)","West Yorkshire","310","300","46570","44100"
"In post","2022","Digital, Data and Technology","Department of Health and Social Care (excl. agencies)","Inner London - West","130","130","43900","40650"
"In post","2022","Digital, Data and Technology","Department of Health and Social Care (excl. agencies)","Lancashire","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Department of Health and Social Care (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Department of Health and Social Care (excl. agencies)","West Yorkshire","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Driver and Vehicle Licensing Agency","West Wales and The Valleys","810","790","40460","38870"
"In post","2022","Digital, Data and Technology","Driver and Vehicle Standards Agency","Derbyshire and Nottinghamshire","70","70","39980","38650"
"In post","2022","Digital, Data and Technology","Driver and Vehicle Standards Agency","East Wales","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Driver and Vehicle Standards Agency","Gloucestershire, Wiltshire and Bath/Bristol area","40","40","[c]","[c]"
"In post","2022","Digital, Data and Technology","Driver and Vehicle Standards Agency","Greater Manchester","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Driver and Vehicle Standards Agency","Herefordshire, Worcestershire and Warwickshire","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Driver and Vehicle Standards Agency","Merseyside","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Driver and Vehicle Standards Agency","Northumberland, and Tyne and Wear","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Driver and Vehicle Standards Agency","Outer London - East and North East","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Driver and Vehicle Standards Agency","Shropshire and Staffordshire","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Driver and Vehicle Standards Agency","West Central Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Driver and Vehicle Standards Agency","West Wales and The Valleys","80","80","33100","30730"
"In post","2022","Digital, Data and Technology","Driver and Vehicle Standards Agency","West Yorkshire","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Education and Skills Funding Agency","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Education and Skills Funding Agency","East Anglia","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Education and Skills Funding Agency","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Education and Skills Funding Agency","Greater Manchester","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Education and Skills Funding Agency","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Education and Skills Funding Agency","Northumberland, and Tyne and Wear","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Education and Skills Funding Agency","South Yorkshire","50","50","36860","36500"
"In post","2022","Digital, Data and Technology","Education and Skills Funding Agency","Tees Valley and Durham","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Education and Skills Funding Agency","West Midlands","140","130","41380","37100"
"In post","2022","Digital, Data and Technology","Education and Skills Funding Agency","West Yorkshire","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Estyn","East Wales","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","FCDO Services","Berkshire, Buckinghamshire and Oxfordshire","100","100","44270","41910"
"In post","2022","Digital, Data and Technology","FCDO Services","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Food Standards Agency","Berkshire, Buckinghamshire and Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Food Standards Agency","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Food Standards Agency","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Food Standards Agency","East Anglia","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Food Standards Agency","East Wales","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Food Standards Agency","East Yorkshire and Northern Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Food Standards Agency","Essex","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Food Standards Agency","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Food Standards Agency","Greater Manchester","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Food Standards Agency","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Food Standards Agency","Inner London - East","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Food Standards Agency","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Food Standards Agency","Lancashire","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Food Standards Agency","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Food Standards Agency","Merseyside","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Food Standards Agency","North Yorkshire","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Food Standards Agency","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Food Standards Agency","Northumberland, and Tyne and Wear","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Food Standards Agency","Outer London - East and North East","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Food Standards Agency","Outer London - West and North West","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Food Standards Agency","Shropshire and Staffordshire","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Food Standards Agency","South Yorkshire","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Food Standards Agency","Surrey, East and West Sussex","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Food Standards Agency","West Central Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Food Standards Agency","West Wales and The Valleys","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Foreign, Commonwealth and Development Office (excl. agencies)","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Foreign, Commonwealth and Development Office (excl. agencies)","Southern Scotland","170","170","42550","39190"
"In post","2022","Digital, Data and Technology","Government Actuary's Department","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Government Internal Audit Agency","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Government Internal Audit Agency","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Government Internal Audit Agency","South Yorkshire","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Government Internal Audit Agency","West Wales and The Valleys","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Government Internal Audit Agency","West Yorkshire","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Government Legal Department","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Government Property Agency","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Government Property Agency","Greater Manchester","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Government Property Agency","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Government Property Agency","West Midlands","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Government Property Agency","West Yorkshire","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Health and Safety Executive","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Health and Safety Executive","Inner London - East","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Health and Safety Executive","Merseyside","70","70","39860","32770"
"In post","2022","Digital, Data and Technology","Health and Safety Executive","North Yorkshire","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Health and Safety Executive","South Yorkshire","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Health and Safety Executive","West Midlands","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Health and Safety Executive","West Yorkshire","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","HM Courts and Tribunals Service","Bedfordshire and Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","HM Courts and Tribunals Service","Berkshire, Buckinghamshire and Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","HM Courts and Tribunals Service","Cheshire","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","HM Courts and Tribunals Service","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","HM Courts and Tribunals Service","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","HM Courts and Tribunals Service","Devon","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","HM Courts and Tribunals Service","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","HM Courts and Tribunals Service","East Anglia","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","HM Courts and Tribunals Service","East Wales","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","HM Courts and Tribunals Service","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","HM Courts and Tribunals Service","Essex","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","HM Courts and Tribunals Service","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","HM Courts and Tribunals Service","Greater Manchester","30","30","[c]","[c]"
"In post","2022","Digital, Data and Technology","HM Courts and Tribunals Service","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","HM Courts and Tribunals Service","Herefordshire, Worcestershire and Warwickshire","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","HM Courts and Tribunals Service","Inner London - East","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","HM Courts and Tribunals Service","Inner London - West","90","90","43410","41750"
