"Status","Year","Ethnicity","Parent_department","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Unknown","Department of Health and Social Care","No function","1210","1180","46600","40650"
"In post","2021","Unknown","Department of Health and Social Care","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Department of Health and Social Care","Property","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Department of Health and Social Care","Unknown","50","50","[c]","[c]"
"In post","2021","Unknown","Food Standards Agency","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Food Standards Agency","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Food Standards Agency","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Food Standards Agency","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Food Standards Agency","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Food Standards Agency","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Food Standards Agency","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Food Standards Agency","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Food Standards Agency","No function","50","50","[c]","[c]"
"In post","2021","Unknown","Food Standards Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Foreign, Commonwealth and Development Office","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Foreign, Commonwealth and Development Office","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Foreign, Commonwealth and Development Office","Communications","30","30","[c]","[c]"
"In post","2021","Unknown","Foreign, Commonwealth and Development Office","Digital, Data & Technology","90","80","39420","38500"
"In post","2021","Unknown","Foreign, Commonwealth and Development Office","Finance","50","50","36190","33930"
"In post","2021","Unknown","Foreign, Commonwealth and Development Office","Human Resources","30","30","[c]","[c]"
"In post","2021","Unknown","Foreign, Commonwealth and Development Office","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Foreign, Commonwealth and Development Office","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Foreign, Commonwealth and Development Office","No function","250","250","48120","48840"
"In post","2021","Unknown","Foreign, Commonwealth and Development Office","Project Delivery","600","590","49330","52430"
"In post","2021","Unknown","Foreign, Commonwealth and Development Office","Property","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Foreign, Commonwealth and Development Office","Security","40","40","[c]","[c]"
"In post","2021","Unknown","Foreign, Commonwealth and Development Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","HM Land Registry","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","HM Land Registry","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","HM Land Registry","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","HM Land Registry","Digital, Data & Technology","130","130","35160","33840"
"In post","2021","Unknown","HM Land Registry","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","HM Land Registry","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","HM Land Registry","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","HM Land Registry","Legal","40","40","[c]","[c]"
"In post","2021","Unknown","HM Land Registry","No function","800","750","24450","22350"
"In post","2021","Unknown","HM Land Registry","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","HM Land Registry","Property","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","HM Revenue and Customs","Analysis","120","110","38630","36160"
"In post","2021","Unknown","HM Revenue and Customs","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","HM Revenue and Customs","Communications","1390","1360","28030","25560"
"In post","2021","Unknown","HM Revenue and Customs","Counter Fraud","1510","1440","31030","29570"
"In post","2021","Unknown","HM Revenue and Customs","Debt","1550","1450","21490","20140"
"In post","2021","Unknown","HM Revenue and Customs","Digital, Data & Technology","670","650","38570","31810"
"In post","2021","Unknown","HM Revenue and Customs","Finance","440","390","30260","21440"
"In post","2021","Unknown","HM Revenue and Customs","Human Resources","240","230","33810","31810"
"In post","2021","Unknown","HM Revenue and Customs","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","HM Revenue and Customs","Legal","270","260","38770","31810"
"In post","2021","Unknown","HM Revenue and Customs","No function","8040","7330","25220","20140"
"In post","2021","Unknown","HM Revenue and Customs","Project Delivery","660","630","42010","38630"
"In post","2021","Unknown","HM Revenue and Customs","Property","940","870","30440","26000"
"In post","2021","Unknown","HM Revenue and Customs","Security","40","40","[c]","[c]"
"In post","2021","Unknown","HM Treasury","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","HM Treasury","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","HM Treasury","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","HM Treasury","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","HM Treasury","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","HM Treasury","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","HM Treasury","No function","60","60","46390","42090"
"In post","2021","Unknown","HM Treasury","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","HM Treasury","Unknown","40","40","[c]","[c]"
"In post","2021","Unknown","Home Office","Unknown","1720","1680","31880","25770"
"In post","2021","Unknown","Ministry of Defence","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Ministry of Defence","Commercial","110","100","36000","33000"
"In post","2021","Unknown","Ministry of Defence","Communications","90","90","38320","34390"
"In post","2021","Unknown","Ministry of Defence","Digital, Data & Technology","90","80","35770","33500"
"In post","2021","Unknown","Ministry of Defence","Finance","100","90","37500","33000"
"In post","2021","Unknown","Ministry of Defence","Human Resources","110","100","31110","26670"
"In post","2021","Unknown","Ministry of Defence","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Ministry of Defence","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Ministry of Defence","No function","320","310","33090","29290"
"In post","2021","Unknown","Ministry of Defence","Project Delivery","930","910","34940","33000"
"In post","2021","Unknown","Ministry of Defence","Property","170","160","26070","18800"
"In post","2021","Unknown","Ministry of Defence","Security","760","760","29000","26610"
"In post","2021","Unknown","Ministry of Defence","Unknown","3370","3290","36300","33270"
"In post","2021","Unknown","Ministry of Housing, Communities and Local Government","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Ministry of Housing, Communities and Local Government","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Ministry of Housing, Communities and Local Government","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Ministry of Housing, Communities and Local Government","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Ministry of Housing, Communities and Local Government","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Ministry of Housing, Communities and Local Government","No function","240","220","44410","40720"
"In post","2021","Unknown","Ministry of Housing, Communities and Local Government","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Ministry of Housing, Communities and Local Government","Security","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Ministry of Justice","Analysis","60","60","43530","41700"
"In post","2021","Unknown","Ministry of Justice","Commercial","70","70","37380","36160"
"In post","2021","Unknown","Ministry of Justice","Communications","40","40","[c]","[c]"
"In post","2021","Unknown","Ministry of Justice","Digital, Data & Technology","220","220","50790","52430"
"In post","2021","Unknown","Ministry of Justice","Finance","70","70","43090","40750"
"In post","2021","Unknown","Ministry of Justice","Human Resources","70","70","40340","34290"
"In post","2021","Unknown","Ministry of Justice","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Ministry of Justice","Legal","200","190","35580","30850"
"In post","2021","Unknown","Ministry of Justice","No function","8720","8300","25990","24440"
"In post","2021","Unknown","Ministry of Justice","Project Delivery","100","100","37300","35290"
"In post","2021","Unknown","Ministry of Justice","Property","60","50","39070","34340"
"In post","2021","Unknown","Ministry of Justice","Security","70","70","35400","31530"
"In post","2021","Unknown","National Crime Agency","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","National Crime Agency","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","National Crime Agency","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","National Crime Agency","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","National Crime Agency","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","National Crime Agency","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","National Crime Agency","No function","590","570","41120","39340"
"In post","2021","Unknown","National Crime Agency","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","National Crime Agency","Security","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Northern Ireland Office","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Northern Ireland Office","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Northern Ireland Office","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Northern Ireland Office","No function","50","50","41500","36800"
"In post","2021","Unknown","Northern Ireland Office","Property","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Northern Ireland Office","Security","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Office for Standards in Education","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Office for Standards in Education","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Office for Standards in Education","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Office for Standards in Education","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Office for Standards in Education","No function","40","30","[c]","[c]"
"In post","2021","Unknown","Office for Standards in Education","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Office for Standards in Education","Property","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Office of Gas and Electricity Markets","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Office of Gas and Electricity Markets","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Office of Gas and Electricity Markets","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Office of Gas and Electricity Markets","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Office of Gas and Electricity Markets","No function","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Office of Qualifications and Examinations Regulation","No function","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Office of Rail and Road","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Office of Rail and Road","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Office of Rail and Road","No function","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Other Cabinet Office Agencies","Commercial","70","70","30040","27770"
"In post","2021","Unknown","Other Cabinet Office Agencies","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Other Cabinet Office Agencies","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Other Cabinet Office Agencies","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Other Cabinet Office Agencies","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Other Cabinet Office Agencies","No function","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Other Cabinet Office Agencies","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Other Cabinet Office Agencies","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Scotland Office","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Scotland Office","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Scotland Office","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Scotland Office","Unknown","40","40","[c]","[c]"
"In post","2021","Unknown","Scottish Government","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Scottish Government","Commercial","50","50","27550","25870"
"In post","2021","Unknown","Scottish Government","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Scottish Government","Digital, Data & Technology","90","90","36110","30080"
"In post","2021","Unknown","Scottish Government","Finance","70","70","32250","29350"
"In post","2021","Unknown","Scottish Government","Human Resources","70","60","31190","30160"
"In post","2021","Unknown","Scottish Government","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Scottish Government","Legal","1550","1390","27040","22820"
"In post","2021","Unknown","Scottish Government","No function","2280","2140","30080","30930"
"In post","2021","Unknown","Scottish Government","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Scottish Government","Property","200","190","28980","28120"
"In post","2021","Unknown","Scottish Government","Security","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Scottish Government","Unknown","2230","2140","37360","31150"
"In post","2021","Unknown","The National Archives","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","The National Archives","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","The National Archives","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","The National Archives","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","The National Archives","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","The National Archives","No function","90","80","32980","28460"
"In post","2021","Unknown","The National Archives","Property","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","UK Export Finance","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","UK Supreme Court","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","United Kingdom Statistics Authority","Analysis","310","300","33720","30130"
"In post","2021","Unknown","United Kingdom Statistics Authority","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","United Kingdom Statistics Authority","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","United Kingdom Statistics Authority","Digital, Data & Technology","180","180","37830","36030"
"In post","2021","Unknown","United Kingdom Statistics Authority","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","United Kingdom Statistics Authority","Human Resources","40","40","[c]","[c]"
"In post","2021","Unknown","United Kingdom Statistics Authority","No function","490","400","23670","19520"
"In post","2021","Unknown","United Kingdom Statistics Authority","Project Delivery","30","30","[c]","[c]"
"In post","2021","Unknown","United Kingdom Statistics Authority","Security","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Wales Office","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Wales Office","No function","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Water Services Regulation Authority","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Water Services Regulation Authority","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Water Services Regulation Authority","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Water Services Regulation Authority","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Water Services Regulation Authority","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Water Services Regulation Authority","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Water Services Regulation Authority","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Water Services Regulation Authority","No function","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Water Services Regulation Authority","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Water Services Regulation Authority","Security","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Welsh Government","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Welsh Government","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Welsh Government","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Welsh Government","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Welsh Government","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Welsh Government","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Welsh Government","Unknown","160","150","39270","28850"
"In post","2021","White","Attorney General's Departments","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","White","Attorney General's Departments","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","White","Attorney General's Departments","Communications","70","70","43580","39750"
"In post","2021","White","Attorney General's Departments","Counter Fraud","150","140","46040","40270"
"In post","2021","White","Attorney General's Departments","Digital, Data & Technology","120","120","42280","38780"
"In post","2021","White","Attorney General's Departments","Finance","100","90","37520","31570"
"In post","2021","White","Attorney General's Departments","Human Resources","160","150","41520","36230"
"In post","2021","White","Attorney General's Departments","Legal","5860","5420","45670","49580"
"In post","2021","White","Attorney General's Departments","No function","50","50","[c]","[c]"
"In post","2021","White","Attorney General's Departments","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","White","Attorney General's Departments","Property","[c]","[c]","[c]","[c]"
"In post","2021","White","Attorney General's Departments","Security","[c]","[c]","[c]","[c]"
"In post","2021","White","Attorney General's Departments","Unknown","30","30","[c]","[c]"
"In post","2021","White","Cabinet Office","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","White","Cabinet Office","Commercial","320","320","71570","62730"
"In post","2021","White","Cabinet Office","Communications","170","170","48030","42210"
"In post","2021","White","Cabinet Office","Counter Fraud","70","70","48650","54700"
"In post","2021","White","Cabinet Office","Digital, Data & Technology","580","570","52710","54700"
"In post","2021","White","Cabinet Office","Finance","50","50","50510","54700"
"In post","2021","White","Cabinet Office","Human Resources","800","760","39000","35590"
"In post","2021","White","Cabinet Office","Legal","40","40","[c]","[c]"
"In post","2021","White","Cabinet Office","No function","1450","1430","48080","43890"
"In post","2021","White","Cabinet Office","Project Delivery","130","130","70420","64500"
"In post","2021","White","Cabinet Office","Property","70","70","52720","53830"
"In post","2021","White","Cabinet Office","Security","470","450","35190","33300"
"In post","2021","White","Cabinet Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","White","Chancellor's other departments","Analysis","120","110","76630","72110"
"In post","2021","White","Chancellor's other departments","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","White","Chancellor's other departments","Communications","[c]","[c]","[c]","[c]"
"In post","2021","White","Chancellor's other departments","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","White","Chancellor's other departments","Finance","[c]","[c]","[c]","[c]"
"In post","2021","White","Chancellor's other departments","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","White","Chancellor's other departments","No function","80","80","55710","45080"
"In post","2021","White","Chancellor's other departments","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","White","Chancellor's other departments","Property","[c]","[c]","[c]","[c]"
"In post","2021","White","Chancellor's other departments","Security","[c]","[c]","[c]","[c]"
"In post","2021","White","Charity Commission","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","White","Charity Commission","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","White","Charity Commission","Communications","[c]","[c]","[c]","[c]"
"In post","2021","White","Charity Commission","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","White","Charity Commission","Digital, Data & Technology","30","30","[c]","[c]"
"In post","2021","White","Charity Commission","Finance","[c]","[c]","[c]","[c]"
"In post","2021","White","Charity Commission","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","White","Charity Commission","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","White","Charity Commission","Legal","[c]","[c]","[c]","[c]"
"In post","2021","White","Charity Commission","No function","[c]","[c]","[c]","[c]"
"In post","2021","White","Charity Commission","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","White","Charity Commission","Security","[c]","[c]","[c]","[c]"
"In post","2021","White","Charity Commission","Unknown","180","170","32630","29160"
"In post","2021","White","Competition and Markets Authority","Analysis","100","100","60050","56360"
"In post","2021","White","Competition and Markets Authority","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","White","Competition and Markets Authority","Communications","[c]","[c]","[c]","[c]"
"In post","2021","White","Competition and Markets Authority","Digital, Data & Technology","30","30","[c]","[c]"
"In post","2021","White","Competition and Markets Authority","Finance","[c]","[c]","[c]","[c]"
"In post","2021","White","Competition and Markets Authority","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","White","Competition and Markets Authority","Legal","120","110","70820","72430"
"In post","2021","White","Competition and Markets Authority","Project Delivery","250","240","63720","59290"
"In post","2021","White","Competition and Markets Authority","Property","[c]","[c]","[c]","[c]"
"In post","2021","White","Competition and Markets Authority","Security","[c]","[c]","[c]","[c]"
"In post","2021","White","Department for Business, Energy and Industrial Strategy","Analysis","210","210","44940","37870"
"In post","2021","White","Department for Business, Energy and Industrial Strategy","Commercial","200","190","43160","40860"
"In post","2021","White","Department for Business, Energy and Industrial Strategy","Communications","160","150","43670","39820"
"In post","2021","White","Department for Business, Energy and Industrial Strategy","Counter Fraud","160","160","39800","39490"
"In post","2021","White","Department for Business, Energy and Industrial Strategy","Digital, Data & Technology","1120","1080","41680","39650"
"In post","2021","White","Department for Business, Energy and Industrial Strategy","Finance","210","200","46110","43340"
"In post","2021","White","Department for Business, Energy and Industrial Strategy","Human Resources","310","290","40510","39120"
"In post","2021","White","Department for Business, Energy and Industrial Strategy","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","White","Department for Business, Energy and Industrial Strategy","Legal","60","60","49850","48020"
"In post","2021","White","Department for Business, Energy and Industrial Strategy","No function","5500","5230","42380","40050"
"In post","2021","White","Department for Business, Energy and Industrial Strategy","Project Delivery","640","620","44440","40220"
"In post","2021","White","Department for Business, Energy and Industrial Strategy","Property","60","60","36400","32730"
"In post","2021","White","Department for Business, Energy and Industrial Strategy","Security","[c]","[c]","[c]","[c]"
"In post","2021","White","Department for Business, Energy and Industrial Strategy","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","White","Department for Digital, Culture, Media and Sport","Analysis","80","80","53980","59730"
"In post","2021","White","Department for Digital, Culture, Media and Sport","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","White","Department for Digital, Culture, Media and Sport","Communications","40","30","[c]","[c]"
"In post","2021","White","Department for Digital, Culture, Media and Sport","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","White","Department for Digital, Culture, Media and Sport","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","White","Department for Digital, Culture, Media and Sport","Finance","40","40","[c]","[c]"
"In post","2021","White","Department for Digital, Culture, Media and Sport","Human Resources","50","50","[c]","[c]"
"In post","2021","White","Department for Digital, Culture, Media and Sport","No function","850","830","49290","51730"
"In post","2021","White","Department for Digital, Culture, Media and Sport","Project Delivery","140","140","49430","51730"
"In post","2021","White","Department for Digital, Culture, Media and Sport","Property","[c]","[c]","[c]","[c]"
"In post","2021","White","Department for Digital, Culture, Media and Sport","Security","[c]","[c]","[c]","[c]"
"In post","2021","White","Department for Education","Analysis","300","280","44600","44400"
"In post","2021","White","Department for Education","Commercial","150","150","41490","38280"
"In post","2021","White","Department for Education","Communications","230","220","40360","36960"
"In post","2021","White","Department for Education","Digital, Data & Technology","400","390","40000","36780"
"In post","2021","White","Department for Education","Finance","350","340","45020","42950"
"In post","2021","White","Department for Education","Human Resources","110","110","36850","31800"
"In post","2021","White","Department for Education","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","White","Department for Education","Legal","50","40","[c]","[c]"
"In post","2021","White","Department for Education","No function","2860","2750","44120","40230"
"In post","2021","White","Department for Education","Project Delivery","370","360","47800","50400"
"In post","2021","White","Department for Education","Property","200","190","49070","50630"
"In post","2021","White","Department for Education","Security","[c]","[c]","[c]","[c]"
"In post","2021","White","Department for Education","Unknown","400","380","54400","50130"
"In post","2021","White","Department for Environment, Food and Rural Affairs","Analysis","540","510","34180","30220"
"In post","2021","White","Department for Environment, Food and Rural Affairs","Commercial","150","140","37500","36520"
"In post","2021","White","Department for Environment, Food and Rural Affairs","Communications","270","250","37650","36210"
"In post","2021","White","Department for Environment, Food and Rural Affairs","Digital, Data & Technology","510","490","43880","47550"
"In post","2021","White","Department for Environment, Food and Rural Affairs","Finance","290","280","42840","38060"
"In post","2021","White","Department for Environment, Food and Rural Affairs","Grants Management","1070","940","26200","25100"
"In post","2021","White","Department for Environment, Food and Rural Affairs","Human Resources","200","180","43430","38750"
"In post","2021","White","Department for Environment, Food and Rural Affairs","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","White","Department for Environment, Food and Rural Affairs","No function","4080","3900","37120","33120"
"In post","2021","White","Department for Environment, Food and Rural Affairs","Project Delivery","360","340","38000","35900"
"In post","2021","White","Department for Environment, Food and Rural Affairs","Property","300","290","37200","33110"
"In post","2021","White","Department for Environment, Food and Rural Affairs","Unknown","110","110","43930","40260"
"In post","2021","White","Department for International Trade","Analysis","130","130","44420","38540"
"In post","2021","White","Department for International Trade","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","White","Department for International Trade","Communications","50","50","[c]","[c]"
"In post","2021","White","Department for International Trade","Digital, Data & Technology","60","60","47470","43000"
"In post","2021","White","Department for International Trade","Finance","40","40","[c]","[c]"
"In post","2021","White","Department for International Trade","Human Resources","70","70","47530","51710"
"In post","2021","White","Department for International Trade","Legal","[c]","[c]","[c]","[c]"
"In post","2021","White","Department for International Trade","No function","950","930","48170","50010"
"In post","2021","White","Department for International Trade","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","White","Department for International Trade","Property","[c]","[c]","[c]","[c]"
"In post","2021","White","Department for International Trade","Security","[c]","[c]","[c]","[c]"
"In post","2021","White","Department for Transport","Analysis","330","310","44450","42470"
"In post","2021","White","Department for Transport","Commercial","170","160","33840","31300"
"In post","2021","White","Department for Transport","Communications","200","190","37050","32180"
"In post","2021","White","Department for Transport","Counter Fraud","40","40","[c]","[c]"
"In post","2021","White","Department for Transport","Digital, Data & Technology","870","840","39890","37350"
"In post","2021","White","Department for Transport","Finance","300","280","39290","36160"
"In post","2021","White","Department for Transport","Human Resources","340","320","36390","32180"
"In post","2021","White","Department for Transport","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","White","Department for Transport","Legal","[c]","[c]","[c]","[c]"
"In post","2021","White","Department for Transport","No function","8660","7820","29940","26700"
"In post","2021","White","Department for Transport","Project Delivery","400","390","52890","49360"
"In post","2021","White","Department for Transport","Property","120","110","33190","31040"
"In post","2021","White","Department for Transport","Security","100","100","31330","26580"
"In post","2021","White","Department for Transport","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","White","Department for Work and Pensions","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","White","Department for Work and Pensions","Commercial","40","40","[c]","[c]"
"In post","2021","White","Department for Work and Pensions","Communications","[c]","[c]","[c]","[c]"
"In post","2021","White","Department for Work and Pensions","Debt","[c]","[c]","[c]","[c]"
"In post","2021","White","Department for Work and Pensions","Digital, Data & Technology","50","40","[c]","[c]"
"In post","2021","White","Department for Work and Pensions","Finance","[c]","[c]","[c]","[c]"
"In post","2021","White","Department for Work and Pensions","Human Resources","70","70","40630","36420"
"In post","2021","White","Department for Work and Pensions","Legal","[c]","[c]","[c]","[c]"
"In post","2021","White","Department for Work and Pensions","No function","1630","1530","42870","41000"
"In post","2021","White","Department for Work and Pensions","Project Delivery","40","30","[c]","[c]"
"In post","2021","White","Department for Work and Pensions","Property","[c]","[c]","[c]","[c]"
"In post","2021","White","Department for Work and Pensions","Security","[c]","[c]","[c]","[c]"
"In post","2021","White","Department for Work and Pensions","Unknown","67210","59760","27520","27570"
"In post","2021","White","Department of Health and Social Care","Analysis","130","120","51180","53360"
"In post","2021","White","Department of Health and Social Care","Commercial","100","90","46910","40650"
"In post","2021","White","Department of Health and Social Care","Communications","150","150","46620","41190"
"In post","2021","White","Department of Health and Social Care","Digital, Data & Technology","160","150","46690","42490"
"In post","2021","White","Department of Health and Social Care","Finance","270","260","44160","40560"
