"Status","Year","Parent_department","Disability","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Department for Education","Undeclared","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"In post","2022","Department for Education","Undeclared","Standards and Testing Agency","[c]","[c]","[c]","[c]"
"In post","2022","Department for Education","Undeclared","Teaching Regulation Agency","[c]","[c]","[c]","[c]"
"In post","2022","Department for Education","Unknown","Department for Education (excl. agencies)","1750","1710","39730","36500"
"In post","2022","Department for Education","Unknown","Education and Skills Funding Agency","340","340","35740","31830"
"In post","2022","Department for Education","Unknown","Institute for Apprenticeships and Technical Education","50","50","43300","40590"
"In post","2022","Department for Education","Unknown","Standards and Testing Agency","30","30","[c]","[c]"
"In post","2022","Department for Education","Unknown","Teaching Regulation Agency","30","30","[c]","[c]"
"In post","2022","Department for Environment, Food and Rural Affairs","Declared disabled","Animal and Plant Health Agency","400","380","28860","25190"
"In post","2022","Department for Environment, Food and Rural Affairs","Declared disabled","Centre for Environment, Fisheries and Aquaculture Science","40","40","[c]","[c]"
"In post","2022","Department for Environment, Food and Rural Affairs","Declared disabled","Department for Environment, Food and Rural Affairs (excl. agencies)","770","740","40980","36970"
"In post","2022","Department for Environment, Food and Rural Affairs","Declared disabled","Rural Payments Agency","200","180","26130","24920"
"In post","2022","Department for Environment, Food and Rural Affairs","Declared disabled","Veterinary Medicines Directorate","[c]","[c]","[c]","[c]"
"In post","2022","Department for Environment, Food and Rural Affairs","Declared non-disabled","Animal and Plant Health Agency","2160","2060","31020","27960"
"In post","2022","Department for Environment, Food and Rural Affairs","Declared non-disabled","Centre for Environment, Fisheries and Aquaculture Science","440","420","33260","29750"
"In post","2022","Department for Environment, Food and Rural Affairs","Declared non-disabled","Department for Environment, Food and Rural Affairs (excl. agencies)","4560","4400","42310","38750"
"In post","2022","Department for Environment, Food and Rural Affairs","Declared non-disabled","Rural Payments Agency","2300","2120","26030","21300"
"In post","2022","Department for Environment, Food and Rural Affairs","Declared non-disabled","Veterinary Medicines Directorate","130","130","39950","36670"
"In post","2022","Department for Environment, Food and Rural Affairs","Undeclared","Animal and Plant Health Agency","150","140","31600","29180"
"In post","2022","Department for Environment, Food and Rural Affairs","Undeclared","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"In post","2022","Department for Environment, Food and Rural Affairs","Undeclared","Department for Environment, Food and Rural Affairs (excl. agencies)","290","280","41380","37590"
"In post","2022","Department for Environment, Food and Rural Affairs","Undeclared","Rural Payments Agency","60","50","30000","25950"
"In post","2022","Department for Environment, Food and Rural Affairs","Undeclared","Veterinary Medicines Directorate","[c]","[c]","[c]","[c]"
"In post","2022","Department for Environment, Food and Rural Affairs","Unknown","Animal and Plant Health Agency","200","190","28090","24920"
"In post","2022","Department for Environment, Food and Rural Affairs","Unknown","Centre for Environment, Fisheries and Aquaculture Science","150","140","37820","35900"
"In post","2022","Department for Environment, Food and Rural Affairs","Unknown","Department for Environment, Food and Rural Affairs (excl. agencies)","870","840","41700","37690"
"In post","2022","Department for Environment, Food and Rural Affairs","Unknown","Veterinary Medicines Directorate","[c]","[c]","[c]","[c]"
"In post","2022","Department for International Trade","Declared disabled","Department for International Trade","240","240","46100","41760"
"In post","2022","Department for International Trade","Declared non-disabled","Department for International Trade","1530","1520","47150","44000"
"In post","2022","Department for International Trade","Undeclared","Department for International Trade","60","60","47740","51710"
"In post","2022","Department for International Trade","Unknown","Department for International Trade","1040","1040","45810","40300"
"In post","2022","Department for Levelling Up, Housing and Communities","Declared disabled","Department for Levelling Up, Housing and Communities (excl. agencies)","380","370","42100","36630"
"In post","2022","Department for Levelling Up, Housing and Communities","Declared disabled","Planning Inspectorate","50","50","34030","24310"
"In post","2022","Department for Levelling Up, Housing and Communities","Declared disabled","Queen Elizabeth II Centre","[c]","[c]","[c]","[c]"
"In post","2022","Department for Levelling Up, Housing and Communities","Declared non-disabled","Department for Levelling Up, Housing and Communities (excl. agencies)","2310","2260","46440","42980"
"In post","2022","Department for Levelling Up, Housing and Communities","Declared non-disabled","Planning Inspectorate","570","520","44140","41610"
"In post","2022","Department for Levelling Up, Housing and Communities","Declared non-disabled","Queen Elizabeth II Centre","40","40","[c]","[c]"
"In post","2022","Department for Levelling Up, Housing and Communities","Undeclared","Department for Levelling Up, Housing and Communities (excl. agencies)","160","160","44280","39600"
"In post","2022","Department for Levelling Up, Housing and Communities","Undeclared","Planning Inspectorate","40","30","[c]","[c]"
"In post","2022","Department for Levelling Up, Housing and Communities","Unknown","Department for Levelling Up, Housing and Communities (excl. agencies)","460","450","45360","39600"
"In post","2022","Department for Levelling Up, Housing and Communities","Unknown","Planning Inspectorate","150","130","41670","41020"
"In post","2022","Department for Transport","Declared disabled","Department for Transport (excl. agencies)","210","200","47210","46300"
"In post","2022","Department for Transport","Declared disabled","Driver and Vehicle Licensing Agency","650","540","24270","21840"
"In post","2022","Department for Transport","Declared disabled","Driver and Vehicle Standards Agency","450","410","29540","26780"
"In post","2022","Department for Transport","Declared disabled","Maritime and Coastguard Agency","60","60","35360","31130"
"In post","2022","Department for Transport","Declared disabled","Vehicle Certification Agency","[c]","[c]","[c]","[c]"
"In post","2022","Department for Transport","Declared non-disabled","Department for Transport (excl. agencies)","2500","2430","50000","46710"
"In post","2022","Department for Transport","Declared non-disabled","Driver and Vehicle Licensing Agency","4500","4010","26880","21840"
"In post","2022","Department for Transport","Declared non-disabled","Driver and Vehicle Standards Agency","3260","3060","30170","27930"
"In post","2022","Department for Transport","Declared non-disabled","Maritime and Coastguard Agency","840","810","39190","36040"
"In post","2022","Department for Transport","Declared non-disabled","Vehicle Certification Agency","180","170","36850","34290"
"In post","2022","Department for Transport","Undeclared","Department for Transport (excl. agencies)","270","270","47030","42890"
"In post","2022","Department for Transport","Undeclared","Driver and Vehicle Licensing Agency","460","410","27560","21840"
"In post","2022","Department for Transport","Undeclared","Driver and Vehicle Standards Agency","280","270","29930","27930"
"In post","2022","Department for Transport","Undeclared","Maritime and Coastguard Agency","70","70","39320","36110"
"In post","2022","Department for Transport","Undeclared","Vehicle Certification Agency","[c]","[c]","[c]","[c]"
"In post","2022","Department for Transport","Unknown","Department for Transport (excl. agencies)","690","670","43900","42470"
"In post","2022","Department for Transport","Unknown","Driver and Vehicle Licensing Agency","750","680","24070","21840"
"In post","2022","Department for Transport","Unknown","Driver and Vehicle Standards Agency","940","910","27500","26470"
"In post","2022","Department for Transport","Unknown","Maritime and Coastguard Agency","260","260","31560","26840"
"In post","2022","Department for Work and Pensions","Declared disabled","Department for Work and Pensions (excl. agencies)","15790","13880","27320","27570"
"In post","2022","Department for Work and Pensions","Declared disabled","Health and Safety Executive","330","310","39120","35910"
"In post","2022","Department for Work and Pensions","Declared non-disabled","Department for Work and Pensions (excl. agencies)","68240","61260","28190","27570"
"In post","2022","Department for Work and Pensions","Declared non-disabled","Health and Safety Executive","2120","2010","43380","40230"
"In post","2022","Department for Work and Pensions","Undeclared","Department for Work and Pensions (excl. agencies)","4130","3810","27970","27570"
"In post","2022","Department for Work and Pensions","Undeclared","Health and Safety Executive","170","160","45060","42000"
"In post","2022","Department for Work and Pensions","Unknown","Department for Work and Pensions (excl. agencies)","3290","3150","29760","27570"
"In post","2022","Department for Work and Pensions","Unknown","Health and Safety Executive","80","80","37080","31660"
"In post","2022","Department of Health and Social Care","Declared disabled","Department of Health and Social Care (excl. agencies)","230","220","45410","40650"
"In post","2022","Department of Health and Social Care","Declared disabled","Medicines and Healthcare Products Regulatory Agency","40","40","[c]","[c]"
"In post","2022","Department of Health and Social Care","Declared disabled","UK Health Security Agency","330","310","38990","32330"
"In post","2022","Department of Health and Social Care","Declared non-disabled","Department of Health and Social Care (excl. agencies)","1030","980","49760","49530"
"In post","2022","Department of Health and Social Care","Declared non-disabled","Medicines and Healthcare Products Regulatory Agency","420","410","53430","53620"
"In post","2022","Department of Health and Social Care","Declared non-disabled","UK Health Security Agency","3700","3420","39910","33350"
"In post","2022","Department of Health and Social Care","Undeclared","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Department of Health and Social Care","Undeclared","Medicines and Healthcare Products Regulatory Agency","40","40","[c]","[c]"
"In post","2022","Department of Health and Social Care","Undeclared","UK Health Security Agency","70","60","38630","36330"
"In post","2022","Department of Health and Social Care","Unknown","Department of Health and Social Care (excl. agencies)","2800","2720","46750","41330"
"In post","2022","Department of Health and Social Care","Unknown","Medicines and Healthcare Products Regulatory Agency","630","610","46520","40850"
"In post","2022","Department of Health and Social Care","Unknown","UK Health Security Agency","2500","2370","48540","41580"
"In post","2022","Estyn","Declared disabled","Estyn","[c]","[c]","[c]","[c]"
"In post","2022","Estyn","Declared non-disabled","Estyn","100","90","58880","75480"
"In post","2022","Estyn","Undeclared","Estyn","[c]","[c]","[c]","[c]"
"In post","2022","Estyn","Unknown","Estyn","[c]","[c]","[c]","[c]"
"In post","2022","Food Standards Agency","Declared disabled","Food Standards Agency","110","100","37940","33400"
"In post","2022","Food Standards Agency","Declared non-disabled","Food Standards Agency","920","890","37630","32400"
"In post","2022","Food Standards Agency","Undeclared","Food Standards Agency","350","340","37950","37350"
"In post","2022","Food Standards Agency","Unknown","Food Standards Agency","80","80","35290","32640"
"In post","2022","Foreign, Commonwealth and Development Office","Declared disabled","FCDO Services","80","80","37000","31460"
"In post","2022","Foreign, Commonwealth and Development Office","Declared disabled","Foreign, Commonwealth and Development Office (excl. agencies)","700","680","45340","39430"
"In post","2022","Foreign, Commonwealth and Development Office","Declared disabled","Wilton Park","[c]","[c]","[c]","[c]"
"In post","2022","Foreign, Commonwealth and Development Office","Declared non-disabled","FCDO Services","910","870","40300","38170"
"In post","2022","Foreign, Commonwealth and Development Office","Declared non-disabled","Foreign, Commonwealth and Development Office (excl. agencies)","4690","4600","49640","48500"
"In post","2022","Foreign, Commonwealth and Development Office","Declared non-disabled","Wilton Park","60","60","34470","30700"
"In post","2022","Foreign, Commonwealth and Development Office","Undeclared","FCDO Services","50","50","40890","38380"
"In post","2022","Foreign, Commonwealth and Development Office","Undeclared","Foreign, Commonwealth and Development Office (excl. agencies)","280","280","50530","46290"
"In post","2022","Foreign, Commonwealth and Development Office","Unknown","FCDO Services","40","40","[c]","[c]"
"In post","2022","Foreign, Commonwealth and Development Office","Unknown","Foreign, Commonwealth and Development Office (excl. agencies)","1410","1380","49510","51500"
"In post","2022","Foreign, Commonwealth and Development Office","Unknown","Wilton Park","[c]","[c]","[c]","[c]"
"In post","2022","HM Land Registry","Declared disabled","HM Land Registry","670","590","29970","27130"
"In post","2022","HM Land Registry","Declared non-disabled","HM Land Registry","4150","3720","32730","27130"
"In post","2022","HM Land Registry","Undeclared","HM Land Registry","300","260","33470","33840"
"In post","2022","HM Land Registry","Unknown","HM Land Registry","1530","1470","27610","22600"
"In post","2022","HM Revenue and Customs","Declared disabled","HM Revenue and Customs (excl. agencies)","6110","5520","32930","28920"
"In post","2022","HM Revenue and Customs","Declared disabled","Valuation Office Agency","290","270","34290","30810"
"In post","2022","HM Revenue and Customs","Declared non-disabled","HM Revenue and Customs (excl. agencies)","39350","36710","34660","33080"
"In post","2022","HM Revenue and Customs","Declared non-disabled","Valuation Office Agency","2500","2320","36470","32890"
"In post","2022","HM Revenue and Customs","Undeclared","HM Revenue and Customs (excl. agencies)","3150","2910","35150","33370"
"In post","2022","HM Revenue and Customs","Undeclared","Valuation Office Agency","300","280","36790","32890"
"In post","2022","HM Revenue and Customs","Unknown","HM Revenue and Customs (excl. agencies)","18900","17560","30310","26820"
"In post","2022","HM Revenue and Customs","Unknown","Valuation Office Agency","770","750","29760","26030"
"In post","2022","HM Treasury","Declared disabled","Government Internal Audit Agency","50","50","44670","40920"
"In post","2022","HM Treasury","Declared disabled","HM Treasury (excl. agencies)","220","210","45820","41210"
"In post","2022","HM Treasury","Declared disabled","National Infrastructure Commission","[c]","[c]","[c]","[c]"
"In post","2022","HM Treasury","Declared disabled","Office for Budget Responsibility","[c]","[c]","[c]","[c]"
"In post","2022","HM Treasury","Declared disabled","UK Debt Management Office","[c]","[c]","[c]","[c]"
"In post","2022","HM Treasury","Declared non-disabled","Government Internal Audit Agency","350","330","49030","47060"
"In post","2022","HM Treasury","Declared non-disabled","HM Treasury (excl. agencies)","1500","1460","48150","52500"
"In post","2022","HM Treasury","Declared non-disabled","National Infrastructure Commission","[c]","[c]","[c]","[c]"
"In post","2022","HM Treasury","Declared non-disabled","Office for Budget Responsibility","[c]","[c]","[c]","[c]"
"In post","2022","HM Treasury","Declared non-disabled","UK Debt Management Office","[c]","[c]","[c]","[c]"
"In post","2022","HM Treasury","Undeclared","Government Internal Audit Agency","50","50","[c]","[c]"
"In post","2022","HM Treasury","Undeclared","HM Treasury (excl. agencies)","340","330","45030","41650"
"In post","2022","HM Treasury","Undeclared","National Infrastructure Commission","[c]","[c]","[c]","[c]"
"In post","2022","HM Treasury","Undeclared","Office for Budget Responsibility","[c]","[c]","[c]","[c]"
"In post","2022","HM Treasury","Unknown","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"In post","2022","HM Treasury","Unknown","HM Treasury (excl. agencies)","60","60","50270","52500"
"In post","2022","HM Treasury","Unknown","Office for Budget Responsibility","[c]","[c]","[c]","[c]"
"In post","2022","HM Treasury","Unknown","UK Debt Management Office","110","110","58240","51220"
"In post","2022","Home Office","Declared disabled","Home Office","3030","2810","32180","28650"
"In post","2022","Home Office","Declared non-disabled","Home Office","26120","24320","32690","28650"
"In post","2022","Home Office","Undeclared","Home Office","1660","1540","33300","29160"
"In post","2022","Home Office","Unknown","Home Office","5720","5560","32590","27370"
"In post","2022","Ministry of Defence","Declared disabled","Defence Electronics and Components Agency","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Defence","Declared disabled","Defence Equipment and Support","1060","1010","35370","33170"
"In post","2022","Ministry of Defence","Declared disabled","Defence Science and Technology Laboratory","250","240","39780","38070"
"In post","2022","Ministry of Defence","Declared disabled","Ministry of Defence (excl. agencies)","3320","3190","32360","29200"
"In post","2022","Ministry of Defence","Declared disabled","Royal Fleet Auxiliary","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Defence","Declared disabled","Submarine Delivery Agency","200","200","39380","37400"
"In post","2022","Ministry of Defence","Declared disabled","UK Hydrographic Office","70","70","35630","33290"
"In post","2022","Ministry of Defence","Declared non-disabled","Defence Electronics and Components Agency","220","220","29280","29470"
"In post","2022","Ministry of Defence","Declared non-disabled","Defence Equipment and Support","7870","7590","37090","34060"
"In post","2022","Ministry of Defence","Declared non-disabled","Defence Science and Technology Laboratory","4400","4240","41160","38110"
"In post","2022","Ministry of Defence","Declared non-disabled","Ministry of Defence (excl. agencies)","25110","24280","32930","29350"
"In post","2022","Ministry of Defence","Declared non-disabled","Royal Fleet Auxiliary","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Defence","Declared non-disabled","Submarine Delivery Agency","1390","1360","41140","39230"
"In post","2022","Ministry of Defence","Declared non-disabled","UK Hydrographic Office","530","510","35770","33290"
"In post","2022","Ministry of Defence","Undeclared","Defence Electronics and Components Agency","170","170","29360","29470"
"In post","2022","Ministry of Defence","Undeclared","Defence Equipment and Support","740","720","38560","37400"
"In post","2022","Ministry of Defence","Undeclared","Ministry of Defence (excl. agencies)","2870","2770","32780","30370"
"In post","2022","Ministry of Defence","Undeclared","Submarine Delivery Agency","130","130","43690","41370"
"In post","2022","Ministry of Defence","Undeclared","UK Hydrographic Office","60","50","36230","33290"
"In post","2022","Ministry of Defence","Unknown","Defence Electronics and Components Agency","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Defence","Unknown","Defence Equipment and Support","1080","1030","34550","32260"
"In post","2022","Ministry of Defence","Unknown","Ministry of Defence (excl. agencies)","6080","5860","33280","29200"
"In post","2022","Ministry of Defence","Unknown","Royal Fleet Auxiliary","1760","1760","37450","34160"
"In post","2022","Ministry of Defence","Unknown","Submarine Delivery Agency","230","220","40560","37900"
"In post","2022","Ministry of Defence","Unknown","UK Hydrographic Office","250","240","34160","33290"
"In post","2022","Ministry of Justice","Declared disabled","Criminal Injuries Compensation Authority","40","30","[c]","[c]"
"In post","2022","Ministry of Justice","Declared disabled","HM Courts and Tribunals Service","2080","1870","25630","21490"
"In post","2022","Ministry of Justice","Declared disabled","HM Prison and Probation Service","7230","6780","30840","28550"
"In post","2022","Ministry of Justice","Declared disabled","Legal Aid Agency","160","140","27850","25120"
"In post","2022","Ministry of Justice","Declared disabled","Ministry of Justice (excl. agencies)","650","630","41320","36630"
"In post","2022","Ministry of Justice","Declared disabled","Office of the Public Guardian","200","180","24870","21490"
"In post","2022","Ministry of Justice","Declared non-disabled","Criminal Injuries Compensation Authority","160","150","29580","25120"
"In post","2022","Ministry of Justice","Declared non-disabled","HM Courts and Tribunals Service","11300","10170","27180","23720"
"In post","2022","Ministry of Justice","Declared non-disabled","HM Prison and Probation Service","39910","37810","30640","28200"
"In post","2022","Ministry of Justice","Declared non-disabled","Legal Aid Agency","860","810","30550","25120"
"In post","2022","Ministry of Justice","Declared non-disabled","Ministry of Justice (excl. agencies)","4110","4000","43830","41750"
"In post","2022","Ministry of Justice","Declared non-disabled","Office of the Public Guardian","900","830","24330","21220"
"In post","2022","Ministry of Justice","Undeclared","Criminal Injuries Compensation Authority","70","60","25050","25120"
"In post","2022","Ministry of Justice","Undeclared","HM Courts and Tribunals Service","1110","1000","26730","21650"
"In post","2022","Ministry of Justice","Undeclared","HM Prison and Probation Service","6700","6150","31730","31650"
"In post","2022","Ministry of Justice","Undeclared","Legal Aid Agency","90","80","31810","25120"
"In post","2022","Ministry of Justice","Undeclared","Ministry of Justice (excl. agencies)","470","450","42830","41100"
"In post","2022","Ministry of Justice","Undeclared","Office of the Public Guardian","90","80","23990","21220"
"In post","2022","Ministry of Justice","Unknown","Criminal Injuries Compensation Authority","50","50","27000","25120"
"In post","2022","Ministry of Justice","Unknown","HM Courts and Tribunals Service","1620","1560","25390","21650"
"In post","2022","Ministry of Justice","Unknown","HM Prison and Probation Service","7870","7430","27080","25610"
"In post","2022","Ministry of Justice","Unknown","Legal Aid Agency","60","60","25420","20970"
"In post","2022","Ministry of Justice","Unknown","Ministry of Justice (excl. agencies)","930","920","41560","36600"
"In post","2022","Ministry of Justice","Unknown","Office of the Public Guardian","250","230","22160","20970"
"In post","2022","National Crime Agency","Declared disabled","National Crime Agency","250","240","38600","36740"
"In post","2022","National Crime Agency","Declared non-disabled","National Crime Agency","1630","1570","43870","41530"
"In post","2022","National Crime Agency","Unknown","National Crime Agency","3670","3590","39420","36740"
"In post","2022","Northern Ireland Office","Declared disabled","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2022","Northern Ireland Office","Declared non-disabled","Northern Ireland Office","100","100","46450","41750"
"In post","2022","Northern Ireland Office","Undeclared","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2022","Northern Ireland Office","Unknown","Northern Ireland Office","60","50","46160","41750"
"In post","2022","Office for Standards in Education, Children's Services and Skills","Declared disabled","Office for Standards in Education, Children's Services and Skills","150","140","46630","46360"
"In post","2022","Office for Standards in Education, Children's Services and Skills","Declared non-disabled","Office for Standards in Education, Children's Services and Skills","1520","1470","51440","51360"
"In post","2022","Office for Standards in Education, Children's Services and Skills","Unknown","Office for Standards in Education, Children's Services and Skills","160","150","42760","42660"
"In post","2022","Office of Gas and Electricity Markets","Declared disabled","Office of Gas and Electricity Markets","80","80","36830","32560"
"In post","2022","Office of Gas and Electricity Markets","Declared non-disabled","Office of Gas and Electricity Markets","1180","1160","43790","37230"
"In post","2022","Office of Gas and Electricity Markets","Unknown","Office of Gas and Electricity Markets","90","90","45270","42810"
"In post","2022","Office of Qualifications and Examinations Regulation","Declared disabled","Office of Qualifications and Examinations Regulation","30","30","[c]","[c]"
"In post","2022","Office of Qualifications and Examinations Regulation","Declared non-disabled","Office of Qualifications and Examinations Regulation","190","180","44130","38760"
"In post","2022","Office of Qualifications and Examinations Regulation","Undeclared","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2022","Office of Qualifications and Examinations Regulation","Unknown","Office of Qualifications and Examinations Regulation","60","60","49000","46660"
"In post","2022","Office of Rail and Road","Declared disabled","Office of Rail and Road","30","30","[c]","[c]"
"In post","2022","Office of Rail and Road","Declared non-disabled","Office of Rail and Road","320","310","54480","54890"
"In post","2022","Office of Rail and Road","Undeclared","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2022","Office of the Secretary of State for Scotland","Declared disabled","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","[c]","[c]","[c]","[c]"
"In post","2022","Office of the Secretary of State for Scotland","Declared non-disabled","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","50","40","[c]","[c]"
"In post","2022","Office of the Secretary of State for Scotland","Undeclared","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","[c]","[c]","[c]","[c]"
"In post","2022","Office of the Secretary of State for Scotland","Unknown","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","60","60","46020","42200"
"In post","2022","Office of the Secretary of State for Wales","Declared disabled","Office of the Secretary of State for Wales","[c]","[c]","[c]","[c]"
"In post","2022","Office of the Secretary of State for Wales","Declared non-disabled","Office of the Secretary of State for Wales","30","30","[c]","[c]"
"In post","2022","Office of the Secretary of State for Wales","Unknown","Office of the Secretary of State for Wales","[c]","[c]","[c]","[c]"
"In post","2022","Scottish Government","Declared disabled","Accountant in Bankruptcy","[c]","[c]","[c]","[c]"
"In post","2022","Scottish Government","Declared disabled","Crown Office and Procurator Fiscal Service","130","120","35620","30040"
"In post","2022","Scottish Government","Declared disabled","Disclosure Scotland","30","30","[c]","[c]"
"In post","2022","Scottish Government","Declared disabled","Education Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Scottish Government","Declared disabled","Food Standards Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Scottish Government","Declared disabled","Forestry and Land Scotland","40","40","[c]","[c]"
"In post","2022","Scottish Government","Declared disabled","National Records of Scotland","40","40","[c]","[c]"
"In post","2022","Scottish Government","Declared disabled","Office of the Scottish Charity Regulator","[c]","[c]","[c]","[c]"
"In post","2022","Scottish Government","Declared disabled","Registers of Scotland","140","130","33130","30840"
"In post","2022","Scottish Government","Declared disabled","Revenue Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Scottish Government","Declared disabled","Scottish Courts and Tribunals Service","60","50","27150","23780"
"In post","2022","Scottish Government","Declared disabled","Scottish Fiscal Commission","[c]","[c]","[c]","[c]"
"In post","2022","Scottish Government","Declared disabled","Scottish Forestry","[c]","[c]","[c]","[c]"
"In post","2022","Scottish Government","Declared disabled","Scottish Government (excl. agencies)","760","730","42220","39660"
"In post","2022","Scottish Government","Declared disabled","Scottish Housing Regulator","[c]","[c]","[c]","[c]"
"In post","2022","Scottish Government","Declared disabled","Scottish Prison Service","370","340","35040","35000"
"In post","2022","Scottish Government","Declared disabled","Scottish Public Pensions Agency","[c]","[c]","[c]","[c]"
"In post","2022","Scottish Government","Declared disabled","Social Security Scotland","250","240","28950","27230"
"In post","2022","Scottish Government","Declared disabled","Student Awards Agency for Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Scottish Government","Declared disabled","Transport Scotland","50","50","[c]","[c]"
"In post","2022","Scottish Government","Declared non-disabled","Accountant in Bankruptcy","70","60","33400","30040"
"In post","2022","Scottish Government","Declared non-disabled","Crown Office and Procurator Fiscal Service","2100","1970","36550","31540"
"In post","2022","Scottish Government","Declared non-disabled","Disclosure Scotland","160","160","29240","23230"
"In post","2022","Scottish Government","Declared non-disabled","Education Scotland","150","140","58740","65280"
"In post","2022","Scottish Government","Declared non-disabled","Food Standards Scotland","140","140","35850","31540"
"In post","2022","Scottish Government","Declared non-disabled","Forestry and Land Scotland","930","890","33060","31060"
"In post","2022","Scottish Government","Declared non-disabled","National Records of Scotland","210","200","37890","36130"
"In post","2022","Scottish Government","Declared non-disabled","Office of the Scottish Charity Regulator","[c]","[c]","[c]","[c]"
"In post","2022","Scottish Government","Declared non-disabled","Registers of Scotland","600","590","35150","30840"
"In post","2022","Scottish Government","Declared non-disabled","Revenue Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Scottish Government","Declared non-disabled","Scottish Courts and Tribunals Service","580","550","28950","23780"
"In post","2022","Scottish Government","Declared non-disabled","Scottish Fiscal Commission","[c]","[c]","[c]","[c]"
"In post","2022","Scottish Government","Declared non-disabled","Scottish Forestry","170","160","35890","31060"
"In post","2022","Scottish Government","Declared non-disabled","Scottish Government (excl. agencies)","4970","4770","45180","40810"
"In post","2022","Scottish Government","Declared non-disabled","Scottish Housing Regulator","30","30","[c]","[c]"
"In post","2022","Scottish Government","Declared non-disabled","Scottish Prison Service","70","70","40750","35000"
"In post","2022","Scottish Government","Declared non-disabled","Scottish Public Pensions Agency","130","120","32900","30040"
"In post","2022","Scottish Government","Declared non-disabled","Social Security Scotland","1260","1230","31690","27940"
"In post","2022","Scottish Government","Declared non-disabled","Student Awards Agency for Scotland","90","90","34010","31540"
"In post","2022","Scottish Government","Declared non-disabled","Transport Scotland","280","270","46550","43000"
"In post","2022","Scottish Government","Undeclared","Accountant in Bankruptcy","[c]","[c]","[c]","[c]"
"In post","2022","Scottish Government","Undeclared","Crown Office and Procurator Fiscal Service","70","60","45100","41750"
"In post","2022","Scottish Government","Undeclared","Disclosure Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Scottish Government","Undeclared","Education Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Scottish Government","Undeclared","Food Standards Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Scottish Government","Undeclared","National Records of Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Scottish Government","Undeclared","Office of the Scottish Charity Regulator","[c]","[c]","[c]","[c]"
"In post","2022","Scottish Government","Undeclared","Registers of Scotland","50","50","36580","37710"
"In post","2022","Scottish Government","Undeclared","Scottish Fiscal Commission","[c]","[c]","[c]","[c]"
"In post","2022","Scottish Government","Undeclared","Scottish Government (excl. agencies)","150","150","43790","39660"
"In post","2022","Scottish Government","Undeclared","Scottish Housing Regulator","[c]","[c]","[c]","[c]"
"In post","2022","Scottish Government","Undeclared","Scottish Prison Service","[c]","[c]","[c]","[c]"
"In post","2022","Scottish Government","Undeclared","Scottish Public Pensions Agency","[c]","[c]","[c]","[c]"
"In post","2022","Scottish Government","Undeclared","Social Security Scotland","50","40","[c]","[c]"
"In post","2022","Scottish Government","Undeclared","Transport Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Scottish Government","Unknown","Accountant in Bankruptcy","30","30","[c]","[c]"
"In post","2022","Scottish Government","Unknown","Crown Office and Procurator Fiscal Service","50","50","[c]","[c]"
"In post","2022","Scottish Government","Unknown","Disclosure Scotland","160","140","29310","23230"
"In post","2022","Scottish Government","Unknown","Education Scotland","170","160","56290","57480"
"In post","2022","Scottish Government","Unknown","Food Standards Scotland","140","140","36090","31540"
"In post","2022","Scottish Government","Unknown","Forestry and Land Scotland","50","50","[c]","[c]"
"In post","2022","Scottish Government","Unknown","National Records of Scotland","200","190","35180","31230"
"In post","2022","Scottish Government","Unknown","Office of the Scottish Charity Regulator","[c]","[c]","[c]","[c]"
"In post","2022","Scottish Government","Unknown","Registers of Scotland","390","370","31950","30840"
"In post","2022","Scottish Government","Unknown","Revenue Scotland","40","40","[c]","[c]"
"In post","2022","Scottish Government","Unknown","Scottish Courts and Tribunals Service","1280","1150","28490","24050"
"In post","2022","Scottish Government","Unknown","Scottish Fiscal Commission","[c]","[c]","[c]","[c]"
"In post","2022","Scottish Government","Unknown","Scottish Forestry","[c]","[c]","[c]","[c]"
