"Status","Year","Sexual_orientation","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"Leaver CS","2022","LGBO","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Digital, Data and Technology","70","70","38970","36180"
"Leaver CS","2022","LGBO","Economics","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Geography","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Human Resources","30","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Medicine","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Operational Delivery","1100","1050","27330","26890"
"Leaver CS","2022","LGBO","Operational Research","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Other","100","100","28020","24830"
"Leaver CS","2022","LGBO","Planning","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Planning Inspectors","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Policy","110","110","41090","34020"
"Leaver CS","2022","LGBO","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Psychology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Science and Engineering","60","50","37420","30930"
"Leaver CS","2022","LGBO","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Social Research","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Statistics","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Tax","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Unknown","160","150","36500","30890"
"Leaver CS","2022","LGBO","Veterinarian","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Commercial","80","30","[c]","[c]"
"Leaver CS","2022","Undeclared","Communications","50","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Counter Fraud","40","30","[c]","[c]"
"Leaver CS","2022","Undeclared","Digital, Data and Technology","180","140","40500","38450"
"Leaver CS","2022","Undeclared","Economics","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Finance","110","70","40620","36460"
"Leaver CS","2022","Undeclared","Geography","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Human Resources","60","40","[c]","[c]"
"Leaver CS","2022","Undeclared","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Knowledge and Information Management","50","50","34560","32330"
"Leaver CS","2022","Undeclared","Legal","40","40","[c]","[c]"
"Leaver CS","2022","Undeclared","Medicine","40","30","[c]","[c]"
"Leaver CS","2022","Undeclared","Operational Delivery","1710","1400","29160","26780"
"Leaver CS","2022","Undeclared","Operational Research","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Other","260","240","28490","22590"
"Leaver CS","2022","Undeclared","Planning","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Planning Inspectors","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Policy","250","130","46540","42100"
"Leaver CS","2022","Undeclared","Project Delivery","80","70","43320","40580"
"Leaver CS","2022","Undeclared","Property","40","30","[c]","[c]"
"Leaver CS","2022","Undeclared","Psychology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Science and Engineering","170","150","37370","35500"
"Leaver CS","2022","Undeclared","Security","80","80","33790","39070"
"Leaver CS","2022","Undeclared","Social Research","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Statistics","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Tax","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Unknown","240","150","37450","31060"
"Leaver CS","2022","Undeclared","Veterinarian","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Commercial","60","60","36640","31650"
"Leaver CS","2022","Unknown","Communications","100","90","39600","34700"
"Leaver CS","2022","Unknown","Corporate Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Counter Fraud","80","60","29430","27570"
"Leaver CS","2022","Unknown","Digital, Data and Technology","350","340","41180","37860"
"Leaver CS","2022","Unknown","Economics","50","50","[c]","[c]"
"Leaver CS","2022","Unknown","Finance","90","90","36210","31950"
"Leaver CS","2022","Unknown","Geography","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Human Resources","80","80","30410","27130"
"Leaver CS","2022","Unknown","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","International Trade","50","50","[c]","[c]"
"Leaver CS","2022","Unknown","Knowledge and Information Management","100","80","36770","31760"
"Leaver CS","2022","Unknown","Legal","110","100","59080","55610"
"Leaver CS","2022","Unknown","Medicine","90","80","55300","39030"
"Leaver CS","2022","Unknown","Operational Delivery","5230","4660","28090","24310"
"Leaver CS","2022","Unknown","Operational Research","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Other","710","670","33180","29040"
"Leaver CS","2022","Unknown","Planning Inspectors","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Policy","310","300","43380","37450"
"Leaver CS","2022","Unknown","Project Delivery","120","120","40330","38550"
"Leaver CS","2022","Unknown","Property","90","80","32610","26650"
"Leaver CS","2022","Unknown","Psychology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Science and Engineering","240","230","36830","33370"
"Leaver CS","2022","Unknown","Security","120","110","29400","25650"
"Leaver CS","2022","Unknown","Social Research","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Statistics","40","40","[c]","[c]"
"Leaver CS","2022","Unknown","Tax","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Unknown","6530","5460","35410","27570"
"Leaver CS","2022","Unknown","Veterinarian","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Commercial","120","120","37180","34800"
"Leaver Dept.","2021","Heterosexual / straight","Communications","120","120","44670","41960"
"Leaver Dept.","2021","Heterosexual / straight","Corporate Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Digital, Data and Technology","110","110","44080","38360"
"Leaver Dept.","2021","Heterosexual / straight","Economics","80","80","43300","37970"
"Leaver Dept.","2021","Heterosexual / straight","Finance","150","150","47350","45480"
"Leaver Dept.","2021","Heterosexual / straight","Human Resources","220","210","39340","34400"
"Leaver Dept.","2021","Heterosexual / straight","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Intelligence Analysis","40","40","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","International Trade","70","70","46140","40930"
"Leaver Dept.","2021","Heterosexual / straight","Knowledge and Information Management","30","30","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Legal","70","60","51770","51940"
"Leaver Dept.","2021","Heterosexual / straight","Medicine","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Operational Delivery","1300","1260","29200","24890"
"Leaver Dept.","2021","Heterosexual / straight","Operational Research","30","30","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Other","210","200","36020","30000"
"Leaver Dept.","2021","Heterosexual / straight","Planning","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Planning Inspectors","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Policy","880","850","45570","40220"
"Leaver Dept.","2021","Heterosexual / straight","Project Delivery","290","280","41700","36560"
"Leaver Dept.","2021","Heterosexual / straight","Property","50","50","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Psychology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Science and Engineering","90","80","36360","33100"
"Leaver Dept.","2021","Heterosexual / straight","Security","30","30","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Social Research","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Statistics","70","60","41650","36200"
"Leaver Dept.","2021","Heterosexual / straight","Tax","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Unknown","1980","1890","35840","32000"
"Leaver Dept.","2021","LGBO","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Corporate Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Economics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","International Trade","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Medicine","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Operational Delivery","120","110","28860","24280"
"Leaver Dept.","2021","LGBO","Operational Research","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Other","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Planning","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Planning Inspectors","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Policy","120","110","44860","41760"
"Leaver Dept.","2021","LGBO","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Psychology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Social Research","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Statistics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Tax","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Unknown","200","200","36480","32000"
"Leaver Dept.","2021","Undeclared","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Economics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","International Trade","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Operational Delivery","140","140","29780","24880"
"Leaver Dept.","2021","Undeclared","Operational Research","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Other","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Planning","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Policy","130","130","46610","43900"
"Leaver Dept.","2021","Undeclared","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Psychology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Social Research","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Statistics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Unknown","230","230","36870","32000"
"Leaver Dept.","2021","Unknown","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Communications","60","60","41670","39340"
"Leaver Dept.","2021","Unknown","Corporate Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Digital, Data and Technology","70","60","48070","47560"
"Leaver Dept.","2021","Unknown","Economics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Finance","50","50","[c]","[c]"
"Leaver Dept.","2021","Unknown","Human Resources","60","60","42300","39120"
"Leaver Dept.","2021","Unknown","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","International Trade","60","60","44800","41660"
"Leaver Dept.","2021","Unknown","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Legal","40","30","[c]","[c]"
"Leaver Dept.","2021","Unknown","Medicine","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Operational Delivery","430","410","28190","24050"
"Leaver Dept.","2021","Unknown","Operational Research","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Other","70","70","44990","37650"
"Leaver Dept.","2021","Unknown","Planning","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Policy","570","550","41560","36970"
"Leaver Dept.","2021","Unknown","Project Delivery","80","80","42060","37460"
"Leaver Dept.","2021","Unknown","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Psychology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Social Research","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Statistics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Tax","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Unknown","3080","2600","34980","32000"
"Leaver Dept.","2022","Heterosexual / straight","Commercial","280","250","39720","37400"
"Leaver Dept.","2022","Heterosexual / straight","Communications","230","200","42240","37320"
"Leaver Dept.","2022","Heterosexual / straight","Corporate Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Heterosexual / straight","Counter Fraud","70","70","31100","27570"
"Leaver Dept.","2022","Heterosexual / straight","Digital, Data and Technology","430","410","42340","38440"
"Leaver Dept.","2022","Heterosexual / straight","Economics","110","100","45970","38380"
"Leaver Dept.","2022","Heterosexual / straight","Finance","370","340","41410","37000"
"Leaver Dept.","2022","Heterosexual / straight","Geography","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Heterosexual / straight","Human Resources","460","430","39480","33300"
"Leaver Dept.","2022","Heterosexual / straight","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Heterosexual / straight","Intelligence Analysis","60","60","34450","29250"
"Leaver Dept.","2022","Heterosexual / straight","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Heterosexual / straight","International Trade","50","50","[c]","[c]"
"Leaver Dept.","2022","Heterosexual / straight","Knowledge and Information Management","200","180","44660","41310"
"Leaver Dept.","2022","Heterosexual / straight","Legal","60","60","59160","59060"
"Leaver Dept.","2022","Heterosexual / straight","Medicine","250","210","82830","90390"
"Leaver Dept.","2022","Heterosexual / straight","Operational Delivery","6000","5670","32340","27570"
"Leaver Dept.","2022","Heterosexual / straight","Operational Research","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Heterosexual / straight","Other","540","520","30750","27570"
"Leaver Dept.","2022","Heterosexual / straight","Planning","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Heterosexual / straight","Planning Inspectors","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Heterosexual / straight","Policy","1410","1290","45370","40220"
"Leaver Dept.","2022","Heterosexual / straight","Project Delivery","380","370","40370","37040"
"Leaver Dept.","2022","Heterosexual / straight","Property","80","70","42670","37320"
"Leaver Dept.","2022","Heterosexual / straight","Psychology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Heterosexual / straight","Science and Engineering","1500","1390","38380","36020"
"Leaver Dept.","2022","Heterosexual / straight","Security","60","60","37620","35310"
"Leaver Dept.","2022","Heterosexual / straight","Social Research","40","40","[c]","[c]"
"Leaver Dept.","2022","Heterosexual / straight","Statistics","70","70","43910","41320"
"Leaver Dept.","2022","Heterosexual / straight","Tax","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Heterosexual / straight","Unknown","1270","1210","44450","38160"
"Leaver Dept.","2022","Heterosexual / straight","Veterinarian","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","LGBO","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","LGBO","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","LGBO","Corporate Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","LGBO","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","LGBO","Digital, Data and Technology","40","40","[c]","[c]"
"Leaver Dept.","2022","LGBO","Economics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","LGBO","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","LGBO","Geography","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","LGBO","Human Resources","40","30","[c]","[c]"
"Leaver Dept.","2022","LGBO","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","LGBO","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","LGBO","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","LGBO","International Trade","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","LGBO","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","LGBO","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","LGBO","Medicine","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","LGBO","Operational Delivery","480","460","32240","27570"
"Leaver Dept.","2022","LGBO","Operational Research","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","LGBO","Other","50","50","29400","27570"
"Leaver Dept.","2022","LGBO","Planning","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","LGBO","Planning Inspectors","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","LGBO","Policy","210","180","43780","40050"
"Leaver Dept.","2022","LGBO","Project Delivery","30","30","[c]","[c]"
"Leaver Dept.","2022","LGBO","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","LGBO","Psychology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","LGBO","Science and Engineering","110","100","37380","32560"
"Leaver Dept.","2022","LGBO","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","LGBO","Social Research","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","LGBO","Statistics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","LGBO","Tax","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","LGBO","Unknown","150","140","41170","35430"
"Leaver Dept.","2022","LGBO","Veterinarian","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","Commercial","160","40","[c]","[c]"
"Leaver Dept.","2022","Undeclared","Communications","100","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","Corporate Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","Digital, Data and Technology","150","70","43730","39220"
"Leaver Dept.","2022","Undeclared","Economics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","Finance","160","50","[c]","[c]"
"Leaver Dept.","2022","Undeclared","Human Resources","70","40","[c]","[c]"
"Leaver Dept.","2022","Undeclared","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","International Trade","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","Knowledge and Information Management","40","40","[c]","[c]"
"Leaver Dept.","2022","Undeclared","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","Medicine","50","40","92280","94810"
"Leaver Dept.","2022","Undeclared","Operational Delivery","740","660","34210","28870"
"Leaver Dept.","2022","Undeclared","Operational Research","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","Other","60","60","31730","27570"
"Leaver Dept.","2022","Undeclared","Planning","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","Planning Inspectors","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","Policy","480","160","45880","41970"
"Leaver Dept.","2022","Undeclared","Project Delivery","40","40","[c]","[c]"
"Leaver Dept.","2022","Undeclared","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","Science and Engineering","240","210","40680","40060"
"Leaver Dept.","2022","Undeclared","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","Social Research","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","Statistics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","Unknown","300","140","41650","34850"
"Leaver Dept.","2022","Unknown","Commercial","40","40","[c]","[c]"
"Leaver Dept.","2022","Unknown","Communications","50","50","[c]","[c]"
"Leaver Dept.","2022","Unknown","Corporate Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Digital, Data and Technology","130","130","41150","37940"
"Leaver Dept.","2022","Unknown","Economics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Finance","70","70","43970","37910"
"Leaver Dept.","2022","Unknown","Geography","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Human Resources","50","50","[c]","[c]"
"Leaver Dept.","2022","Unknown","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","International Trade","30","30","[c]","[c]"
"Leaver Dept.","2022","Unknown","Knowledge and Information Management","60","50","44410","42890"
"Leaver Dept.","2022","Unknown","Legal","40","40","[c]","[c]"
"Leaver Dept.","2022","Unknown","Medicine","80","70","112530","114000"
"Leaver Dept.","2022","Unknown","Operational Delivery","1300","1240","34790","27570"
"Leaver Dept.","2022","Unknown","Operational Research","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Other","140","140","33860","28230"
"Leaver Dept.","2022","Unknown","Planning","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Planning Inspectors","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Policy","310","310","45000","40270"
"Leaver Dept.","2022","Unknown","Project Delivery","70","70","42300","39030"
"Leaver Dept.","2022","Unknown","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Science and Engineering","430","400","45130","41180"
"Leaver Dept.","2022","Unknown","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Social Research","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Statistics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Tax","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Unknown","2690","2340","38350","32000"
"Leaver Dept.","2022","Unknown","Veterinarian","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Heterosexual / straight","Commercial","280","270","35050","33650"
"New entrant CS","2021","Heterosexual / straight","Communications","230","220","36090","32560"
"New entrant CS","2021","Heterosexual / straight","Corporate Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Heterosexual / straight","Counter Fraud","40","40","[c]","[c]"
"New entrant CS","2021","Heterosexual / straight","Digital, Data and Technology","910","910","40950","38160"
"New entrant CS","2021","Heterosexual / straight","Economics","270","270","32400","31800"
"New entrant CS","2021","Heterosexual / straight","Finance","450","430","36040","32810"
"New entrant CS","2021","Heterosexual / straight","Human Resources","470","450","33520","29200"
"New entrant CS","2021","Heterosexual / straight","Inspector of Education and Training","80","80","64200","70500"
"New entrant CS","2021","Heterosexual / straight","Intelligence Analysis","60","60","32650","28700"
"New entrant CS","2021","Heterosexual / straight","Internal Audit","30","30","[c]","[c]"
"New entrant CS","2021","Heterosexual / straight","International Trade","80","80","35320","31800"
"New entrant CS","2021","Heterosexual / straight","Knowledge and Information Management","120","110","31980","30200"
"New entrant CS","2021","Heterosexual / straight","Legal","620","600","43520","43920"
"New entrant CS","2021","Heterosexual / straight","Medicine","250","210","50500","38890"
"New entrant CS","2021","Heterosexual / straight","Operational Delivery","8510","8190","26410","22920"
"New entrant CS","2021","Heterosexual / straight","Operational Research","70","70","32790","32540"
"New entrant CS","2021","Heterosexual / straight","Other","1190","1160","27640","24010"
"New entrant CS","2021","Heterosexual / straight","Planning","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Heterosexual / straight","Planning Inspectors","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Heterosexual / straight","Policy","1700","1680","36860","33570"
"New entrant CS","2021","Heterosexual / straight","Project Delivery","780","770","37750","34710"
"New entrant CS","2021","Heterosexual / straight","Property","340","330","34030","31450"
"New entrant CS","2021","Heterosexual / straight","Psychology","60","60","26360","24620"
"New entrant CS","2021","Heterosexual / straight","Science and Engineering","890","830","32490","30000"
"New entrant CS","2021","Heterosexual / straight","Security","440","430","26510","23540"
"New entrant CS","2021","Heterosexual / straight","Social Research","140","140","33030","32540"
"New entrant CS","2021","Heterosexual / straight","Statistics","210","210","34280","31810"
"New entrant CS","2021","Heterosexual / straight","Tax","940","920","23130","20140"
