"Status","Year","Function_of_post","Disability","Headcount","FTE","Mean_salary","Median_salary"
"New entrant CS","2021","Debt","Unknown","670","660","20460","20140"
"New entrant CS","2021","Digital, Data & Technology","Declared disabled","80","80","38510","37000"
"New entrant CS","2021","Digital, Data & Technology","Declared non-disabled","810","800","40440","36800"
"New entrant CS","2021","Digital, Data & Technology","Undeclared","50","50","42090","39340"
"New entrant CS","2021","Digital, Data & Technology","Unknown","930","920","39210","36030"
"New entrant CS","2021","Finance","Declared disabled","30","30","[c]","[c]"
"New entrant CS","2021","Finance","Declared non-disabled","390","380","36310","33000"
"New entrant CS","2021","Finance","Undeclared","40","40","[c]","[c]"
"New entrant CS","2021","Finance","Unknown","310","300","33820","32790"
"New entrant CS","2021","Grants Management","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Grants Management","Declared non-disabled","50","50","[c]","[c]"
"New entrant CS","2021","Grants Management","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","Declared disabled","80","80","31900","27770"
"New entrant CS","2021","Human Resources","Declared non-disabled","490","470","32470","28000"
"New entrant CS","2021","Human Resources","Undeclared","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","Unknown","290","280","32200","28000"
"New entrant CS","2021","Internal Audit","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Internal Audit","Declared non-disabled","30","30","[c]","[c]"
"New entrant CS","2021","Internal Audit","Undeclared","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Legal","Declared disabled","50","50","33970","29280"
"New entrant CS","2021","Legal","Declared non-disabled","420","400","39430","36160"
"New entrant CS","2021","Legal","Undeclared","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Legal","Unknown","920","900","33730","26970"
"New entrant CS","2021","No function","Declared disabled","1160","1120","27730","24920"
"New entrant CS","2021","No function","Declared non-disabled","9770","9380","28770","24920"
"New entrant CS","2021","No function","Undeclared","790","730","34090","30350"
"New entrant CS","2021","No function","Unknown","9470","9200","27110","23110"
"New entrant CS","2021","Project Delivery","Declared disabled","110","100","34480","32560"
"New entrant CS","2021","Project Delivery","Declared non-disabled","1180","1170","37050","33570"
"New entrant CS","2021","Project Delivery","Undeclared","70","60","37300","34020"
"New entrant CS","2021","Project Delivery","Unknown","510","500","33930","31810"
"New entrant CS","2021","Property","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Property","Declared non-disabled","450","440","31390","28120"
"New entrant CS","2021","Property","Undeclared","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Property","Unknown","240","240","29370","24500"
"New entrant CS","2021","Security","Declared disabled","30","30","[c]","[c]"
"New entrant CS","2021","Security","Declared non-disabled","430","430","26320","23540"
"New entrant CS","2021","Security","Undeclared","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Security","Unknown","370","360","27830","24540"
"New entrant CS","2021","Unknown","Declared disabled","2270","2210","26980","27570"
"New entrant CS","2021","Unknown","Declared non-disabled","14690","14410","27190","27570"
"New entrant CS","2021","Unknown","Undeclared","750","730","26890","27570"
"New entrant CS","2021","Unknown","Unknown","5350","5210","31160","27570"
"New entrant CS","2022","Analysis","Declared disabled","120","110","30490","30710"
"New entrant CS","2022","Analysis","Declared non-disabled","940","930","33540","30710"
"New entrant CS","2022","Analysis","Undeclared","50","50","[c]","[c]"
"New entrant CS","2022","Analysis","Unknown","380","340","34850","30710"
"New entrant CS","2022","Commercial","Declared disabled","60","50","32120","29270"
"New entrant CS","2022","Commercial","Declared non-disabled","400","400","34130","31900"
"New entrant CS","2022","Commercial","Undeclared","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Commercial","Unknown","520","460","51380","40650"
"New entrant CS","2022","Communications","Declared disabled","70","60","30250","27270"
"New entrant CS","2022","Communications","Declared non-disabled","750","740","30920","26590"
"New entrant CS","2022","Communications","Undeclared","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Communications","Unknown","670","620","30520","26590"
"New entrant CS","2022","Counter Fraud","Declared disabled","140","130","26970","26590"
"New entrant CS","2022","Counter Fraud","Declared non-disabled","1040","1020","26970","26590"
"New entrant CS","2022","Counter Fraud","Undeclared","50","40","[c]","[c]"
"New entrant CS","2022","Counter Fraud","Unknown","370","360","27900","26590"
"New entrant CS","2022","Debt","Declared disabled","80","70","21490","21260"
"New entrant CS","2022","Debt","Declared non-disabled","610","590","21640","21250"
"New entrant CS","2022","Debt","Undeclared","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Debt","Unknown","320","300","21680","21250"
"New entrant CS","2022","Digital, Data & Technology","Declared disabled","200","200","36350","33080"
"New entrant CS","2022","Digital, Data & Technology","Declared non-disabled","1670","1650","37760","34260"
"New entrant CS","2022","Digital, Data & Technology","Undeclared","90","90","36270","33370"
"New entrant CS","2022","Digital, Data & Technology","Unknown","940","890","37520","33840"
"New entrant CS","2022","Finance","Declared disabled","60","60","32750","29270"
"New entrant CS","2022","Finance","Declared non-disabled","560","550","33750","31060"
"New entrant CS","2022","Finance","Undeclared","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Finance","Unknown","520","460","34260","30450"
"New entrant CS","2022","Grants Management","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Grants Management","Declared non-disabled","500","480","21680","21300"
"New entrant CS","2022","Grants Management","Undeclared","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Human Resources","Declared disabled","120","120","31420","28000"
"New entrant CS","2022","Human Resources","Declared non-disabled","780","750","32730","28000"
"New entrant CS","2022","Human Resources","Undeclared","50","50","[c]","[c]"
"New entrant CS","2022","Human Resources","Unknown","410","380","32890","27770"
"New entrant CS","2022","Internal Audit","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Internal Audit","Declared non-disabled","40","40","[c]","[c]"
"New entrant CS","2022","Internal Audit","Undeclared","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Legal","Declared disabled","120","110","35150","29280"
"New entrant CS","2022","Legal","Declared non-disabled","900","880","37400","37610"
"New entrant CS","2022","Legal","Undeclared","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Legal","Unknown","210","210","34340","27130"
"New entrant CS","2022","No function","Declared disabled","3540","3390","28230","26880"
"New entrant CS","2022","No function","Declared non-disabled","23350","22600","28130","26140"
"New entrant CS","2022","No function","Undeclared","1230","1180","28750","27570"
"New entrant CS","2022","No function","Unknown","13790","13080","27890","25120"
"New entrant CS","2022","Project Delivery","Declared disabled","140","130","32840","30250"
"New entrant CS","2022","Project Delivery","Declared non-disabled","1240","1220","35620","33000"
"New entrant CS","2022","Project Delivery","Undeclared","60","60","35780","33500"
"New entrant CS","2022","Project Delivery","Unknown","570","560","34760","33000"
"New entrant CS","2022","Property","Declared disabled","60","60","32150","28860"
"New entrant CS","2022","Property","Declared non-disabled","510","500","33600","31000"
"New entrant CS","2022","Property","Undeclared","30","30","[c]","[c]"
"New entrant CS","2022","Property","Unknown","520","510","31270","25420"
"New entrant CS","2022","Security","Declared disabled","40","30","[c]","[c]"
"New entrant CS","2022","Security","Declared non-disabled","380","370","29770","26350"
"New entrant CS","2022","Security","Undeclared","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Security","Unknown","440","430","28090","25000"
"New entrant CS","2022","Unknown","Declared disabled","490","470","29420","27230"
"New entrant CS","2022","Unknown","Declared non-disabled","3260","3180","31150","27230"
"New entrant CS","2022","Unknown","Undeclared","160","160","30320","27230"
"New entrant CS","2022","Unknown","Unknown","5730","5480","29920","27230"
"Notes","Summary figures are suppressed when information relates to less than 30 civil servants for FTE or Headcount, and less than 50 civil servants for median and mean salary (shown as [c]). Additionally, zero responses have been suppressed for GPDR protected characteristics. Figures are rounded to the nearest 10, or £10 as appropriate.","","","","","",""
"Data source","All figures are aggregated from the Cabinet Office Annual Civil Service Employment Survey collection. https://www.gov.uk/government/collections/civil-service-statistics","","","","","",""
"Version","Generated on 2022-07-26, with GIT 03ee02c.","","","","","",""
"Data column","Description","","","","","",""
"Status","Employment status of the civil servants.","","","","","",""
"","In post - includes staff that were in post on the reference date (31 March).","","","","","",""
"","New entrant CS - includes new entrants to the Civil Service over the year (1 April to 31 March).","","","","","",""
"","Leaver CS - includes leavers from the Civil Service over the year (1 April to 31 March). This includes employees who have an Unknown leaving cause.","","","","","",""
"","Leaver Dept. - includes leavers from the department over the year (1 April to 31 March), who did not leave the Civil Service.","","","","","",""
"","Organisation specific notes on status: In late June 2021 around 7,000 employees from Community Rehabilitation Companies were transferred in from the private sector to HM Prison and Probation Service, counting as entrants. The Defence Electronics and Components Agency does not record the date in which their employees first enter the Civil Service and so entrants data is not available. HM Land Registry do not record where their departing employees transfer to and so are unable to identify those that transfer to another Civil Service department.","","","","","",""
"Year","Year of data collection (as at March 31st).","","","","","",""
"Function_of_post","Functions relate to the post occupied by the person and are not dependent on qualifications the individual may have.","","","","","",""
"","Home Office, Welsh Government and Royal Fleet Auxiliary did not report any functions information for their employees.","","","","","",""
"","Of the 20 bodies under the Scottish Government, 16 did not report any functions information for their employees.","","","","","",""
"Disability","Self reported disability.","","","","","",""
"","""Undeclared"" accounts for employees who have actively declared that they do not want to disclose their disability status and ""Unknown"" accounts for employees who have not made an active declaration about their disability status.","","","","","",""
"Headcount","Total number of civil servants (rounded to nearest 10).","","","","","",""
"FTE","Total full-time equivalent employment numbers (rounded to nearest 10).","","","","","",""
"Mean_salary","Average salary (mean, rounded to nearest £10). For part-time employees, salaries represent the full-time equivalent earnings, while for full-time employees they are the actual annual gross salaries.","","","","","",""
"Median_salary","Median salary (rounded to nearest £10). For part-time employees, salaries represent the full-time equivalent earnings, while for full-time employees they are the actual annual gross salaries.","","","","","",""
