"Status","Year","Disability","Sex","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Declared non-disabled","Male","Psychology","130","130","38160","31180"
"In post","2022","Declared non-disabled","Male","Science and Engineering","7310","7130","39680","38070"
"In post","2022","Declared non-disabled","Male","Security","4460","4380","31980","28080"
"In post","2022","Declared non-disabled","Male","Social Research","250","240","45750","41340"
"In post","2022","Declared non-disabled","Male","Statistics","890","880","44880","40520"
"In post","2022","Declared non-disabled","Male","Tax","6000","5820","37760","33370"
"In post","2022","Declared non-disabled","Male","Unknown","8030","7930","43830","37300"
"In post","2022","Declared non-disabled","Male","Veterinarian","150","150","44920","44780"
"In post","2022","Declared non-disabled","Unknown","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Unknown","Operational Research","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Unknown","Social Research","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Unknown","Statistics","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Female","Commercial","170","160","40020","37100"
"In post","2022","Undeclared","Female","Communications","80","80","41460","38670"
"In post","2022","Undeclared","Female","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Female","Counter Fraud","180","160","29400","27570"
"In post","2022","Undeclared","Female","Digital, Data and Technology","290","280","39770","36760"
"In post","2022","Undeclared","Female","Economics","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Female","Finance","330","310","38350","34050"
"In post","2022","Undeclared","Female","Geography","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Female","Human Resources","350","330","37600","34610"
"In post","2022","Undeclared","Female","Intelligence Analysis","110","110","32420","29310"
"In post","2022","Undeclared","Female","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Female","International Trade","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Female","Knowledge and Information Management","80","70","33240","31090"
"In post","2022","Undeclared","Female","Legal","250","230","48620","47760"
"In post","2022","Undeclared","Female","Medicine","60","50","51870","40060"
"In post","2022","Undeclared","Female","Operational Delivery","7200","6370","27980","27060"
"In post","2022","Undeclared","Female","Operational Research","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Female","Other","820","760","27500","26120"
"In post","2022","Undeclared","Female","Planning","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Female","Planning Inspectors","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Female","Policy","820","790","44790","40350"
"In post","2022","Undeclared","Female","Project Delivery","340","320","41840","40000"
"In post","2022","Undeclared","Female","Property","190","180","35640","33150"
"In post","2022","Undeclared","Female","Psychology","100","100","37700","31180"
"In post","2022","Undeclared","Female","Science and Engineering","100","100","39040","37830"
"In post","2022","Undeclared","Female","Security","160","150","35410","33000"
"In post","2022","Undeclared","Female","Social Research","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Female","Statistics","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Female","Tax","370","340","37550","33370"
"In post","2022","Undeclared","Female","Unknown","420","400","39720","34550"
"In post","2022","Undeclared","Female","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Male","Commercial","180","170","44270","41500"
"In post","2022","Undeclared","Male","Communications","80","80","40200","37800"
"In post","2022","Undeclared","Male","Counter Fraud","150","140","30200","27570"
"In post","2022","Undeclared","Male","Digital, Data and Technology","800","790","41740","38460"
"In post","2022","Undeclared","Male","Economics","70","70","45630","40370"
"In post","2022","Undeclared","Male","Finance","340","330","41970","39740"
"In post","2022","Undeclared","Male","Geography","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Male","Human Resources","150","140","39120","35590"
"In post","2022","Undeclared","Male","Intelligence Analysis","160","160","36100","33330"
"In post","2022","Undeclared","Male","Internal Audit","30","30","[c]","[c]"
"In post","2022","Undeclared","Male","International Trade","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Male","Knowledge and Information Management","80","80","38650","32750"
"In post","2022","Undeclared","Male","Legal","300","290","45400","40180"
"In post","2022","Undeclared","Male","Medicine","40","30","[c]","[c]"
"In post","2022","Undeclared","Male","Operational Delivery","7710","7240","30520","29730"
"In post","2022","Undeclared","Male","Operational Research","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Male","Other","860","830","29330","26670"
"In post","2022","Undeclared","Male","Planning","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Male","Planning Inspectors","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Male","Policy","890","880","48380","45260"
"In post","2022","Undeclared","Male","Project Delivery","430","420","44980","41310"
"In post","2022","Undeclared","Male","Property","340","330","40260","36900"
"In post","2022","Undeclared","Male","Psychology","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Male","Science and Engineering","560","540","37870","35240"
"In post","2022","Undeclared","Male","Security","620","610","34350","36480"
"In post","2022","Undeclared","Male","Social Research","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Male","Statistics","40","40","[c]","[c]"
"In post","2022","Undeclared","Male","Tax","560","540","41050","35980"
"In post","2022","Undeclared","Male","Unknown","380","370","42810","39580"
"In post","2022","Undeclared","Male","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Unknown","Other","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Female","Commercial","670","640","38390","36500"
"In post","2022","Unknown","Female","Communications","640","620","42460","38620"
"In post","2022","Unknown","Female","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Female","Counter Fraud","150","140","31610","27570"
"In post","2022","Unknown","Female","Digital, Data and Technology","1350","1310","41610","37930"
"In post","2022","Unknown","Female","Economics","160","150","41420","34710"
"In post","2022","Unknown","Female","Finance","1060","1010","38440","35000"
"In post","2022","Unknown","Female","Geography","30","30","[c]","[c]"
"In post","2022","Unknown","Female","Human Resources","980","930","35890","31970"
"In post","2022","Unknown","Female","Inspector of Education and Training","60","50","57510","51360"
"In post","2022","Unknown","Female","Intelligence Analysis","130","130","34640","30820"
"In post","2022","Unknown","Female","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Female","International Trade","300","290","45080","39440"
"In post","2022","Unknown","Female","Knowledge and Information Management","130","130","36180","33000"
"In post","2022","Unknown","Female","Legal","1440","1340","45800","48080"
"In post","2022","Unknown","Female","Medicine","510","440","55500","44200"
"In post","2022","Unknown","Female","Operational Delivery","22190","20280","28060","25050"
"In post","2022","Unknown","Female","Operational Research","50","40","[c]","[c]"
"In post","2022","Unknown","Female","Other","2120","2000","32770","27570"
"In post","2022","Unknown","Female","Planning","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Female","Planning Inspectors","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Female","Policy","3220","3130","44820","40650"
"In post","2022","Unknown","Female","Project Delivery","1050","1000","42260","40080"
"In post","2022","Unknown","Female","Property","490","460","32940","29610"
"In post","2022","Unknown","Female","Psychology","140","140","32450","29750"
"In post","2022","Unknown","Female","Science and Engineering","750","690","42610","40560"
"In post","2022","Unknown","Female","Security","330","320","32390","30010"
"In post","2022","Unknown","Female","Social Research","230","220","38430","38340"
"In post","2022","Unknown","Female","Statistics","240","220","39490","38340"
"In post","2022","Unknown","Female","Tax","2520","2340","29530","26820"
"In post","2022","Unknown","Female","Unknown","6190","5930","40280","32790"
"In post","2022","Unknown","Female","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Male","Commercial","590","580","40300","38260"
"In post","2022","Unknown","Male","Communications","430","420","43630","40000"
"In post","2022","Unknown","Male","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Male","Counter Fraud","170","160","35080","31000"
"In post","2022","Unknown","Male","Digital, Data and Technology","2830","2800","42490","38550"
"In post","2022","Unknown","Male","Economics","330","320","44350","37930"
"In post","2022","Unknown","Male","Finance","890","880","40810","37000"
"In post","2022","Unknown","Male","Geography","100","100","31220","29290"
"In post","2022","Unknown","Male","Human Resources","440","430","37330","33300"
"In post","2022","Unknown","Male","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Male","Intelligence Analysis","220","220","35780","33300"
"In post","2022","Unknown","Male","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Male","International Trade","290","290","47010","41280"
"In post","2022","Unknown","Male","Knowledge and Information Management","130","120","37340","33300"
"In post","2022","Unknown","Male","Legal","1080","1060","43640","39540"
"In post","2022","Unknown","Male","Medicine","250","230","70130","66570"
"In post","2022","Unknown","Male","Operational Delivery","18780","18040","29850","26820"
"In post","2022","Unknown","Male","Operational Research","80","70","42420","39040"
"In post","2022","Unknown","Male","Other","3600","3560","35170","32670"
"In post","2022","Unknown","Male","Planning","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Male","Planning Inspectors","50","40","[c]","[c]"
"In post","2022","Unknown","Male","Policy","2540","2520","46580","41990"
"In post","2022","Unknown","Male","Project Delivery","1080","1070","45710","41000"
"In post","2022","Unknown","Male","Property","740","730","35660","32890"
"In post","2022","Unknown","Male","Psychology","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Male","Science and Engineering","1060","1040","40290","38930"
"In post","2022","Unknown","Male","Security","1550","1530","31900","28890"
"In post","2022","Unknown","Male","Social Research","100","100","38740","38340"
"In post","2022","Unknown","Male","Statistics","230","230","40380","38000"
"In post","2022","Unknown","Male","Tax","3000","2920","31980","28920"
"In post","2022","Unknown","Male","Unknown","5450","5370","42330","33370"
"In post","2022","Unknown","Male","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Unknown","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Unknown","Social Research","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Unknown","Statistics","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Female","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Female","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Female","Corporate Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Female","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Female","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Female","Economics","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Female","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Female","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Female","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Female","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Female","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Female","International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Female","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Female","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Female","Medicine","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Female","Operational Delivery","470","390","25150","21430"
"Leaver CS","2021","Declared disabled","Female","Operational Research","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Female","Other","80","70","27250","21580"
"Leaver CS","2021","Declared disabled","Female","Planning","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Female","Planning Inspectors","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Female","Policy","30","30","[c]","[c]"
"Leaver CS","2021","Declared disabled","Female","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Female","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Female","Psychology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Female","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Female","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Female","Social Research","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Female","Statistics","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Female","Unknown","890","690","26830","26890"
"Leaver CS","2021","Declared disabled","Female","Veterinarian","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Male","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Male","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Male","Corporate Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Male","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Male","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Male","Economics","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Male","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Male","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Male","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Male","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Male","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Male","International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Male","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Male","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Male","Medicine","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Male","Operational Delivery","370","330","28630","25310"
"Leaver CS","2021","Declared disabled","Male","Operational Research","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Male","Other","80","80","29460","27340"
"Leaver CS","2021","Declared disabled","Male","Planning","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Male","Planning Inspectors","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Male","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Male","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Male","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Male","Psychology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Male","Science and Engineering","50","40","[c]","[c]"
"Leaver CS","2021","Declared disabled","Male","Security","40","40","[c]","[c]"
"Leaver CS","2021","Declared disabled","Male","Social Research","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Male","Statistics","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Male","Unknown","590","510","28250","26890"
"Leaver CS","2021","Declared disabled","Male","Veterinarian","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Unknown","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Unknown","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Unknown","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Female","Commercial","50","50","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Female","Communications","70","60","37810","35860"
"Leaver CS","2021","Declared non-disabled","Female","Corporate Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Female","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Female","Digital, Data and Technology","70","60","40540","37060"
"Leaver CS","2021","Declared non-disabled","Female","Economics","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Female","Finance","80","80","39980","34860"
"Leaver CS","2021","Declared non-disabled","Female","Human Resources","120","110","37370","32460"
"Leaver CS","2021","Declared non-disabled","Female","Inspector of Education and Training","40","40","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Female","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Female","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Female","International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Female","Knowledge and Information Management","50","50","33150","30460"
"Leaver CS","2021","Declared non-disabled","Female","Legal","160","130","52620","51390"
"Leaver CS","2021","Declared non-disabled","Female","Medicine","110","90","46650","36330"
"Leaver CS","2021","Declared non-disabled","Female","Operational Delivery","2280","1950","26450","22350"
"Leaver CS","2021","Declared non-disabled","Female","Operational Research","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Female","Other","310","280","27180","21580"
"Leaver CS","2021","Declared non-disabled","Female","Planning","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Female","Planning Inspectors","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Female","Policy","220","200","46420","40780"
"Leaver CS","2021","Declared non-disabled","Female","Project Delivery","130","120","39550","33850"
"Leaver CS","2021","Declared non-disabled","Female","Property","70","60","32380","26210"
"Leaver CS","2021","Declared non-disabled","Female","Psychology","60","60","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Female","Science and Engineering","170","160","31140","28380"
"Leaver CS","2021","Declared non-disabled","Female","Security","40","30","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Female","Social Research","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Female","Statistics","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Female","Unknown","4180","3330","27600","25120"
"Leaver CS","2021","Declared non-disabled","Female","Veterinarian","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Male","Commercial","70","60","43130","40250"
"Leaver CS","2021","Declared non-disabled","Male","Communications","60","60","37410","32700"
"Leaver CS","2021","Declared non-disabled","Male","Corporate Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Male","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Male","Digital, Data and Technology","160","150","44730","40290"
"Leaver CS","2021","Declared non-disabled","Male","Economics","40","40","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Male","Finance","90","90","46640","44790"
"Leaver CS","2021","Declared non-disabled","Male","Human Resources","70","60","40790","36820"
"Leaver CS","2021","Declared non-disabled","Male","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Male","Intelligence Analysis","30","30","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Male","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Male","International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Male","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Male","Legal","120","100","56750","55610"
"Leaver CS","2021","Declared non-disabled","Male","Medicine","50","40","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Male","Operational Delivery","2200","1990","30530","25880"
"Leaver CS","2021","Declared non-disabled","Male","Operational Research","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Male","Other","440","430","31560","29930"
"Leaver CS","2021","Declared non-disabled","Male","Planning","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Male","Planning Inspectors","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Male","Policy","220","210","51330","46200"
"Leaver CS","2021","Declared non-disabled","Male","Project Delivery","160","160","45910","40000"
"Leaver CS","2021","Declared non-disabled","Male","Property","180","160","35180","33250"
"Leaver CS","2021","Declared non-disabled","Male","Psychology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Male","Science and Engineering","300","280","33930","31950"
"Leaver CS","2021","Declared non-disabled","Male","Security","180","170","30670","27250"
"Leaver CS","2021","Declared non-disabled","Male","Social Research","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Male","Statistics","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Male","Unknown","2700","2390","31550","27150"
"Leaver CS","2021","Declared non-disabled","Male","Veterinarian","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Unknown","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Unknown","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Female","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Female","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Female","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Female","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Female","Economics","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Female","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Female","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Female","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Female","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Female","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Female","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Female","Medicine","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Female","Operational Delivery","270","220","26940","22450"
"Leaver CS","2021","Undeclared","Female","Other","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Female","Planning Inspectors","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Female","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Female","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Female","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Female","Psychology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Female","Science and Engineering","40","30","[c]","[c]"
"Leaver CS","2021","Undeclared","Female","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Female","Social Research","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Female","Unknown","340","280","29050","26890"
"Leaver CS","2021","Undeclared","Male","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Male","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Male","Corporate Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Male","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Male","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Male","Economics","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Male","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Male","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Male","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Male","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Male","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Male","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Male","Medicine","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Male","Operational Delivery","390","330","30830","26780"
"Leaver CS","2021","Undeclared","Male","Operational Research","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Male","Other","50","40","[c]","[c]"
"Leaver CS","2021","Undeclared","Male","Planning Inspectors","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Male","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Male","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Male","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Male","Psychology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Male","Science and Engineering","50","40","[c]","[c]"
"Leaver CS","2021","Undeclared","Male","Security","30","30","[c]","[c]"
"Leaver CS","2021","Undeclared","Male","Statistics","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Male","Unknown","290","270","32280","27570"
"Leaver CS","2021","Undeclared","Male","Veterinarian","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Female","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Female","Communications","50","50","34600","32940"
"Leaver CS","2021","Unknown","Female","Corporate Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Female","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Female","Digital, Data and Technology","50","40","[c]","[c]"
"Leaver CS","2021","Unknown","Female","Economics","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Female","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Female","Human Resources","50","40","[c]","[c]"
"Leaver CS","2021","Unknown","Female","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Female","International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Female","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Female","Legal","50","40","[c]","[c]"
"Leaver CS","2021","Unknown","Female","Medicine","60","50","44950","31370"
"Leaver CS","2021","Unknown","Female","Operational Delivery","1140","1050","25960","21870"
"Leaver CS","2021","Unknown","Female","Operational Research","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Female","Other","160","150","30360","28650"
"Leaver CS","2021","Unknown","Female","Policy","140","140","37790","32650"
"Leaver CS","2021","Unknown","Female","Project Delivery","40","40","[c]","[c]"
"Leaver CS","2021","Unknown","Female","Property","50","40","[c]","[c]"
"Leaver CS","2021","Unknown","Female","Psychology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Female","Science and Engineering","90","80","33260","28660"
"Leaver CS","2021","Unknown","Female","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Female","Social Research","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Female","Statistics","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Female","Unknown","1810","1490","31520","27570"
"Leaver CS","2021","Unknown","Female","Veterinarian","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Male","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Male","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Male","Corporate Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Male","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Male","Digital, Data and Technology","120","110","41650","38450"
"Leaver CS","2021","Unknown","Male","Economics","30","30","[c]","[c]"
