"Status","Year","Profession_of_post","Function_of_post","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"Leaver CS","2021","Unknown","Project Delivery","Scottish Government","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Property","Cabinet Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Property","Scottish Government","50","40","[c]","[c]"
"Leaver CS","2021","Unknown","Security","Cabinet Office","50","40","[c]","[c]"
"Leaver CS","2021","Unknown","Unknown","Attorney General's Departments","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Unknown","Cabinet Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Unknown","Charity Commission","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Unknown","Department for Business, Energy and Industrial Strategy","90","90","[c]","[c]"
"Leaver CS","2021","Unknown","Unknown","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Unknown","Department for Transport","100","100","42980","35060"
"Leaver CS","2021","Unknown","Unknown","Department for Work and Pensions","4390","3730","26450","26120"
"Leaver CS","2021","Unknown","Unknown","Department of Health and Social Care","250","60","46360","40020"
"Leaver CS","2021","Unknown","Unknown","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Unknown","Foreign, Commonwealth and Development Office","110","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Unknown","HM Revenue and Customs","5430","4570","[c]","[c]"
"Leaver CS","2021","Unknown","Unknown","Home Office","520","450","30680","25120"
"Leaver CS","2021","Unknown","Unknown","Ministry of Defence","70","70","34170","32430"
"Leaver CS","2021","Unknown","Unknown","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Unknown","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Unknown","Scotland Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Unknown","Scottish Government","410","370","40520","35110"
"Leaver CS","2021","Veterinarian","No function","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Veterinarian","No function","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Veterinarian","Unknown","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","Commercial","Attorney General's Departments","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","Commercial","Cabinet Office","30","30","[c]","[c]"
"Leaver CS","2022","Commercial","Commercial","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","Commercial","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","Commercial","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","Commercial","Department for Education","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","Commercial","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","Commercial","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","Commercial","Department for Levelling Up, Housing and Communities","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","Commercial","Department for Transport","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","Commercial","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","Commercial","Department of Health and Social Care","80","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","Commercial","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","Commercial","HM Land Registry","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","Commercial","Ministry of Defence","100","90","38740","36630"
"Leaver CS","2022","Commercial","Commercial","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","Commercial","Scottish Government","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","Commercial","The National Archives","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","Commercial","UK Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","Finance","Department for Education","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","Finance","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","No function","Department for Education","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","No function","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","No function","Ministry of Justice","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","Project Delivery","Ministry of Defence","30","30","[c]","[c]"
"Leaver CS","2022","Commercial","Property","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","Unknown","Home Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","Communications","Attorney General's Departments","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","Communications","Cabinet Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","Communications","Chancellor's other departments","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","Communications","Charity Commission","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","Communications","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","Communications","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","Communications","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","Communications","Department for Education","40","40","[c]","[c]"
"Leaver CS","2022","Communications","Communications","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","Communications","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","Communications","Department for Levelling Up, Housing and Communities","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","Communications","Department for Transport","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","Communications","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","Communications","Department of Health and Social Care","70","30","[c]","[c]"
"Leaver CS","2022","Communications","Communications","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","Communications","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","Communications","HM Land Registry","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","Communications","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","Communications","HM Treasury","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","Communications","Ministry of Defence","50","50","[c]","[c]"
"Leaver CS","2022","Communications","Communications","Ministry of Justice","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","Communications","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","Communications","Northern Ireland Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","Communications","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","Communications","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","Communications","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","Communications","Scottish Government","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","Communications","The National Archives","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","Communications","UK Export Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","Communications","UK Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","Communications","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","Communications","Welsh Government","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","Digital, Data & Technology","Department for Education","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","Legal","Attorney General's Departments","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","No function","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","No function","Department for Education","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","No function","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","No function","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","No function","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","No function","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","Project Delivery","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","Project Delivery","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","Property","Cabinet Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","Unknown","Attorney General's Departments","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","Unknown","Home Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","Unknown","Welsh Government","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Corporate Finance","Finance","Attorney General's Departments","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Corporate Finance","Finance","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Corporate Finance","Finance","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Corporate Finance","Finance","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Corporate Finance","No function","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Corporate Finance","Project Delivery","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Counter Fraud","Counter Fraud","Attorney General's Departments","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Counter Fraud","Counter Fraud","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Counter Fraud","Counter Fraud","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Counter Fraud","Counter Fraud","Department for Transport","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Counter Fraud","Counter Fraud","Department for Work and Pensions","210","150","26810","27570"
"Leaver CS","2022","Counter Fraud","Counter Fraud","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Counter Fraud","Counter Fraud","HM Treasury","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Counter Fraud","Unknown","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Counter Fraud","Unknown","Home Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Digital, Data and Technology","Analysis","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Digital, Data and Technology","Analysis","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Digital, Data and Technology","Analysis","Department for Education","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Digital, Data and Technology","Analysis","Department for Transport","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Digital, Data and Technology","Analysis","HM Treasury","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Digital, Data and Technology","Analysis","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Digital, Data and Technology","Analysis","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Digital, Data and Technology","Analysis","UK Export Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Digital, Data and Technology","Digital, Data & Technology","Attorney General's Departments","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Digital, Data and Technology","Digital, Data & Technology","Cabinet Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Digital, Data and Technology","Digital, Data & Technology","Chancellor's other departments","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Digital, Data and Technology","Digital, Data & Technology","Charity Commission","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Digital, Data and Technology","Digital, Data & Technology","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Digital, Data and Technology","Digital, Data & Technology","Department for Business, Energy and Industrial Strategy","100","100","36130","35380"
"Leaver CS","2022","Digital, Data and Technology","Digital, Data & Technology","Department for Education","60","60","42610","37100"
"Leaver CS","2022","Digital, Data and Technology","Digital, Data & Technology","Department for Environment, Food and Rural Affairs","60","60","[c]","[c]"
"Leaver CS","2022","Digital, Data and Technology","Digital, Data & Technology","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Digital, Data and Technology","Digital, Data & Technology","Department for Levelling Up, Housing and Communities","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Digital, Data and Technology","Digital, Data & Technology","Department for Transport","80","80","39000","34950"
"Leaver CS","2022","Digital, Data and Technology","Digital, Data & Technology","Department for Work and Pensions","220","210","46190","42300"
"Leaver CS","2022","Digital, Data and Technology","Digital, Data & Technology","Department of Health and Social Care","80","40","[c]","[c]"
"Leaver CS","2022","Digital, Data and Technology","Digital, Data & Technology","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Digital, Data and Technology","Digital, Data & Technology","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Digital, Data and Technology","Digital, Data & Technology","HM Land Registry","80","70","36720","37870"
"Leaver CS","2022","Digital, Data and Technology","Digital, Data & Technology","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Digital, Data and Technology","Digital, Data & Technology","HM Treasury","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Digital, Data and Technology","Digital, Data & Technology","Ministry of Defence","200","180","34610","33290"
"Leaver CS","2022","Digital, Data and Technology","Digital, Data & Technology","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Digital, Data and Technology","Digital, Data & Technology","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Digital, Data and Technology","Digital, Data & Technology","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Digital, Data and Technology","Digital, Data & Technology","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Digital, Data and Technology","Digital, Data & Technology","Office of Rail and Road","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Digital, Data and Technology","Digital, Data & Technology","Scottish Government","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Digital, Data and Technology","Digital, Data & Technology","The National Archives","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Digital, Data and Technology","Digital, Data & Technology","UK Export Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Digital, Data and Technology","Digital, Data & Technology","UK Statistics Authority","90","90","35440","33060"
"Leaver CS","2022","Digital, Data and Technology","Digital, Data & Technology","UK Supreme Court","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Digital, Data and Technology","Digital, Data & Technology","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Digital, Data and Technology","Finance","Cabinet Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Digital, Data and Technology","Finance","Department for Education","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Digital, Data and Technology","No function","Department for Education","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Digital, Data and Technology","No function","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Digital, Data and Technology","No function","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Digital, Data and Technology","Project Delivery","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Digital, Data and Technology","Project Delivery","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Digital, Data and Technology","Project Delivery","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Digital, Data and Technology","Property","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Digital, Data and Technology","Unknown","Home Office","120","120","51880","45600"
"Leaver CS","2022","Digital, Data and Technology","Unknown","Welsh Government","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Economics","Analysis","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Economics","Analysis","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Economics","Analysis","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Economics","Analysis","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Economics","Analysis","Department for Levelling Up, Housing and Communities","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Economics","Analysis","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Economics","Analysis","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Economics","Analysis","HM Treasury","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Economics","Analysis","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Economics","Analysis","Office of Rail and Road","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Economics","Analysis","UK Export Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Economics","Analysis","UK Statistics Authority","30","30","[c]","[c]"
"Leaver CS","2022","Economics","Analysis","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Economics","Communications","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Economics","Finance","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Economics","No function","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Economics","No function","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Economics","No function","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Economics","Project Delivery","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Economics","Unknown","Home Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Finance","Analysis","HM Land Registry","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Finance","Analysis","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Finance","Commercial","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Finance","Digital, Data & Technology","Department for Education","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Finance","Finance","Attorney General's Departments","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Finance","Finance","Cabinet Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Finance","Finance","Chancellor's other departments","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Finance","Finance","Charity Commission","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Finance","Finance","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Finance","Finance","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Finance","Finance","Department for Education","30","30","[c]","[c]"
"Leaver CS","2022","Finance","Finance","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Finance","Finance","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Finance","Finance","Department for Levelling Up, Housing and Communities","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Finance","Finance","Department for Transport","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Finance","Finance","Department for Work and Pensions","50","40","37890","35310"
"Leaver CS","2022","Finance","Finance","Department of Health and Social Care","100","40","[c]","[c]"
"Leaver CS","2022","Finance","Finance","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Finance","Finance","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Finance","Finance","HM Land Registry","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Finance","Finance","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Finance","Finance","HM Treasury","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Finance","Finance","Ministry of Defence","110","100","34550","29200"
"Leaver CS","2022","Finance","Finance","Ministry of Justice","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Finance","Finance","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Finance","Finance","Northern Ireland Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Finance","Finance","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Finance","Finance","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Finance","Finance","Office of Rail and Road","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Finance","Finance","Scottish Government","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Finance","Finance","The National Archives","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Finance","Finance","UK Export Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Finance","Finance","UK Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Finance","Finance","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Finance","Grants Management","The National Archives","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Finance","No function","Department for Education","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Finance","No function","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Finance","Project Delivery","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Finance","Project Delivery","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Finance","Project Delivery","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Finance","Property","Cabinet Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Finance","Unknown","Home Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Finance","Unknown","Ministry of Defence","160","150","35490","33300"
"Leaver CS","2022","Finance","Unknown","Welsh Government","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Geography","Analysis","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Geography","No function","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Human Resources","Analysis","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Human Resources","Analysis","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Human Resources","Human Resources","Attorney General's Departments","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Human Resources","Human Resources","Chancellor's other departments","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Human Resources","Human Resources","Charity Commission","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Human Resources","Human Resources","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Human Resources","Human Resources","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Human Resources","Human Resources","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Human Resources","Human Resources","Department for Education","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Human Resources","Human Resources","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Human Resources","Human Resources","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Human Resources","Human Resources","Department for Levelling Up, Housing and Communities","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Human Resources","Human Resources","Department for Transport","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Human Resources","Human Resources","Department for Work and Pensions","40","30","[c]","[c]"
"Leaver CS","2022","Human Resources","Human Resources","Department of Health and Social Care","90","60","40150","36330"
"Leaver CS","2022","Human Resources","Human Resources","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Human Resources","Human Resources","HM Land Registry","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Human Resources","Human Resources","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Human Resources","Human Resources","HM Treasury","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Human Resources","Human Resources","Ministry of Defence","140","130","29870","26350"
"Leaver CS","2022","Human Resources","Human Resources","Ministry of Justice","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Human Resources","Human Resources","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Human Resources","Human Resources","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Human Resources","Human Resources","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Human Resources","Human Resources","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Human Resources","Human Resources","Office of Rail and Road","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Human Resources","Human Resources","Office of the Secretary of State for Wales","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Human Resources","Human Resources","Scottish Government","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Human Resources","Human Resources","The National Archives","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Human Resources","Human Resources","UK Export Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Human Resources","Human Resources","UK Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Human Resources","Human Resources","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Human Resources","Human Resources","Welsh Government","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Human Resources","No function","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Human Resources","Project Delivery","Cabinet Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Human Resources","Project Delivery","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Human Resources","Project Delivery","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Human Resources","Property","Cabinet Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Human Resources","Unknown","Home Office","40","40","[c]","[c]"
"Leaver CS","2022","Human Resources","Unknown","Welsh Government","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Inspector of Education and Training","No function","Office for Standards in Education, Children's Services and Skills","120","110","64820","70500"
"Leaver CS","2022","Inspector of Education and Training","Project Delivery","Estyn","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Intelligence Analysis","Analysis","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Intelligence Analysis","Counter Fraud","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Intelligence Analysis","No function","Ministry of Justice","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Intelligence Analysis","Security","Ministry of Defence","60","60","34880","33300"
"Leaver CS","2022","Intelligence Analysis","Unknown","Home Office","70","60","28140","27370"
"Leaver CS","2022","Internal Audit","Analysis","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Internal Audit","Internal Audit","Department for Transport","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Internal Audit","Internal Audit","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Internal Audit","Internal Audit","HM Treasury","30","30","[c]","[c]"
"Leaver CS","2022","Internal Audit","Internal Audit","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Internal Audit","Internal Audit","Ministry of Justice","[c]","[c]","[c]","[c]"
