"Status","Year","Profession_of_post","Function_of_post","Ethnicity","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Counter Fraud","No function","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","No function","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","No function","White","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Unknown","Asian","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Unknown","Black","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Unknown","Mixed","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Unknown","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Unknown","White","150","140","26880","25310"
"In post","2022","Digital, Data and Technology","Analysis","Asian","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Analysis","Black","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Analysis","Mixed","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Analysis","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Analysis","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Analysis","White","110","110","44280","41990"
"In post","2022","Digital, Data and Technology","Commercial","Asian","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Commercial","Black","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Commercial","Mixed","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Commercial","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Commercial","White","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Communications","Asian","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Communications","Black","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Communications","Mixed","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Communications","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Communications","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Communications","White","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Counter Fraud","Asian","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Counter Fraud","Black","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Counter Fraud","Mixed","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Counter Fraud","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Counter Fraud","White","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Digital, Data & Technology","Asian","1080","1070","41840","37930"
"In post","2022","Digital, Data and Technology","Digital, Data & Technology","Black","480","480","38930","36330"
"In post","2022","Digital, Data and Technology","Digital, Data & Technology","Mixed","240","240","41160","37730"
"In post","2022","Digital, Data and Technology","Digital, Data & Technology","Other ethnicity","80","80","43550","38440"
"In post","2022","Digital, Data and Technology","Digital, Data & Technology","Undeclared","910","890","41490","38640"
"In post","2022","Digital, Data and Technology","Digital, Data & Technology","Unknown","2490","2460","41080","37610"
"In post","2022","Digital, Data and Technology","Digital, Data & Technology","White","12090","11710","41490","38160"
"In post","2022","Digital, Data and Technology","Finance","Asian","30","30","[c]","[c]"
"In post","2022","Digital, Data and Technology","Finance","Black","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Finance","Mixed","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Finance","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Finance","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Finance","Unknown","30","30","[c]","[c]"
"In post","2022","Digital, Data and Technology","Finance","White","150","150","39330","36500"
"In post","2022","Digital, Data and Technology","Human Resources","Asian","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Human Resources","Black","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Human Resources","Mixed","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Human Resources","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Human Resources","White","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Internal Audit","Asian","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Internal Audit","Black","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Internal Audit","Mixed","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Internal Audit","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Internal Audit","White","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Legal","Asian","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Legal","Black","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Legal","Mixed","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Legal","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Legal","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Legal","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Legal","White","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","No function","Asian","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","No function","Black","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","No function","Mixed","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","No function","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","No function","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","No function","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","No function","White","80","80","41680","40230"
"In post","2022","Digital, Data and Technology","Project Delivery","Asian","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Project Delivery","Black","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Project Delivery","Mixed","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Project Delivery","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Project Delivery","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Project Delivery","White","120","120","46280","47010"
"In post","2022","Digital, Data and Technology","Property","Asian","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Property","Black","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Property","Mixed","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Property","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Property","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Property","White","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Security","Asian","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Security","Black","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Security","Mixed","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Security","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Security","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Security","White","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Unknown","Asian","240","230","48720","44970"
"In post","2022","Digital, Data and Technology","Unknown","Black","100","100","46900","41970"
"In post","2022","Digital, Data and Technology","Unknown","Mixed","30","30","[c]","[c]"
"In post","2022","Digital, Data and Technology","Unknown","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Unknown","Undeclared","90","90","48090","45390"
"In post","2022","Digital, Data and Technology","Unknown","Unknown","390","380","47530","41950"
"In post","2022","Digital, Data and Technology","Unknown","White","990","970","49540","45550"
"In post","2022","Economics","Analysis","Asian","150","150","42490","38020"
"In post","2022","Economics","Analysis","Black","50","50","[c]","[c]"
"In post","2022","Economics","Analysis","Mixed","60","60","41980","37510"
"In post","2022","Economics","Analysis","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2022","Economics","Analysis","Undeclared","30","30","[c]","[c]"
"In post","2022","Economics","Analysis","Unknown","200","190","43250","37610"
"In post","2022","Economics","Analysis","White","880","860","48600","43430"
"In post","2022","Economics","Counter Fraud","Asian","[c]","[c]","[c]","[c]"
"In post","2022","Economics","Counter Fraud","Black","[c]","[c]","[c]","[c]"
"In post","2022","Economics","Counter Fraud","Mixed","[c]","[c]","[c]","[c]"
"In post","2022","Economics","Counter Fraud","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2022","Economics","Counter Fraud","White","[c]","[c]","[c]","[c]"
"In post","2022","Economics","Finance","Asian","[c]","[c]","[c]","[c]"
"In post","2022","Economics","Finance","Black","[c]","[c]","[c]","[c]"
"In post","2022","Economics","Finance","Mixed","[c]","[c]","[c]","[c]"
"In post","2022","Economics","Finance","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2022","Economics","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Economics","Finance","White","[c]","[c]","[c]","[c]"
"In post","2022","Economics","Human Resources","Asian","[c]","[c]","[c]","[c]"
"In post","2022","Economics","Human Resources","Black","[c]","[c]","[c]","[c]"
"In post","2022","Economics","Human Resources","Mixed","[c]","[c]","[c]","[c]"
"In post","2022","Economics","Human Resources","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2022","Economics","Human Resources","White","[c]","[c]","[c]","[c]"
"In post","2022","Economics","No function","Asian","50","50","43630","38030"
"In post","2022","Economics","No function","Black","[c]","[c]","[c]","[c]"
"In post","2022","Economics","No function","Mixed","[c]","[c]","[c]","[c]"
"In post","2022","Economics","No function","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2022","Economics","No function","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Economics","No function","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Economics","No function","White","270","260","50330","52730"
"In post","2022","Economics","Project Delivery","Asian","[c]","[c]","[c]","[c]"
"In post","2022","Economics","Project Delivery","Black","[c]","[c]","[c]","[c]"
"In post","2022","Economics","Project Delivery","Mixed","[c]","[c]","[c]","[c]"
"In post","2022","Economics","Project Delivery","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2022","Economics","Project Delivery","Unknown","30","30","[c]","[c]"
"In post","2022","Economics","Project Delivery","White","50","50","59460","57320"
"In post","2022","Economics","Unknown","Asian","[c]","[c]","[c]","[c]"
"In post","2022","Economics","Unknown","Black","[c]","[c]","[c]","[c]"
"In post","2022","Economics","Unknown","Mixed","[c]","[c]","[c]","[c]"
"In post","2022","Economics","Unknown","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2022","Economics","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Economics","Unknown","Unknown","60","60","38290","35050"
"In post","2022","Economics","Unknown","White","110","110","49920","43950"
"In post","2022","Finance","Analysis","Asian","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Analysis","Black","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Analysis","Mixed","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Analysis","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Analysis","White","30","30","[c]","[c]"
"In post","2022","Finance","Commercial","Asian","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Commercial","Black","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Commercial","Mixed","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Commercial","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Commercial","White","30","30","[c]","[c]"
"In post","2022","Finance","Communications","Asian","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Communications","Black","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Communications","Mixed","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Communications","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Communications","White","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Debt","Asian","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Debt","Black","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Debt","Mixed","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Debt","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Debt","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Debt","White","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Digital, Data & Technology","Asian","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Digital, Data & Technology","Black","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Digital, Data & Technology","Mixed","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Digital, Data & Technology","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Digital, Data & Technology","White","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Finance","Asian","800","780","40360","36820"
"In post","2022","Finance","Finance","Black","360","350","40070","37640"
"In post","2022","Finance","Finance","Mixed","150","140","41100","37490"
"In post","2022","Finance","Finance","Other ethnicity","40","40","[c]","[c]"
"In post","2022","Finance","Finance","Undeclared","360","350","40020","36600"
"In post","2022","Finance","Finance","Unknown","980","950","39680","36650"
"In post","2022","Finance","Finance","White","6210","5920","41300","36970"
"In post","2022","Finance","Grants Management","Asian","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Grants Management","Black","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Grants Management","Mixed","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Grants Management","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Grants Management","White","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Human Resources","Asian","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Human Resources","Black","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Human Resources","Mixed","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Human Resources","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Human Resources","White","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Legal","Asian","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Legal","Black","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Legal","Mixed","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Legal","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Legal","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Legal","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Legal","White","60","50","27490","26970"
"In post","2022","Finance","No function","Asian","[c]","[c]","[c]","[c]"
"In post","2022","Finance","No function","Black","[c]","[c]","[c]","[c]"
"In post","2022","Finance","No function","Mixed","[c]","[c]","[c]","[c]"
"In post","2022","Finance","No function","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2022","Finance","No function","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Finance","No function","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Finance","No function","White","110","100","47400","47740"
"In post","2022","Finance","Project Delivery","Asian","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Project Delivery","Black","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Project Delivery","Mixed","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Project Delivery","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Project Delivery","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Project Delivery","White","180","170","46110","42950"
"In post","2022","Finance","Property","Asian","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Property","Black","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Property","Mixed","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Property","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Property","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Property","White","40","40","[c]","[c]"
"In post","2022","Finance","Unknown","Asian","130","120","41440","38200"
"In post","2022","Finance","Unknown","Black","50","50","38720","35200"
"In post","2022","Finance","Unknown","Mixed","30","30","[c]","[c]"
"In post","2022","Finance","Unknown","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Unknown","Undeclared","150","140","39400","35390"
"In post","2022","Finance","Unknown","Unknown","140","140","39280","34640"
"In post","2022","Finance","Unknown","White","2230","2160","37800","33300"
"In post","2022","Geography","Analysis","Asian","[c]","[c]","[c]","[c]"
"In post","2022","Geography","Analysis","Black","[c]","[c]","[c]","[c]"
"In post","2022","Geography","Analysis","Mixed","[c]","[c]","[c]","[c]"
"In post","2022","Geography","Analysis","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2022","Geography","Analysis","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Geography","Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Geography","Analysis","White","40","40","[c]","[c]"
"In post","2022","Geography","No function","Asian","[c]","[c]","[c]","[c]"
"In post","2022","Geography","No function","Black","[c]","[c]","[c]","[c]"
"In post","2022","Geography","No function","Mixed","[c]","[c]","[c]","[c]"
"In post","2022","Geography","No function","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2022","Geography","No function","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Geography","No function","Unknown","120","120","30670","29290"
"In post","2022","Geography","No function","White","290","270","31500","33290"
"In post","2022","Human Resources","Analysis","Asian","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Analysis","Black","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Analysis","Mixed","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Analysis","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Analysis","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Analysis","White","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Commercial","Asian","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Commercial","Black","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Commercial","Mixed","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Commercial","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Commercial","White","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Communications","Asian","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Communications","Black","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Communications","Mixed","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Communications","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Communications","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Communications","White","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Digital, Data & Technology","Asian","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Digital, Data & Technology","Black","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Digital, Data & Technology","Mixed","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Digital, Data & Technology","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Digital, Data & Technology","White","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Finance","Asian","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Finance","Black","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Finance","Mixed","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Finance","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Finance","White","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Human Resources","Asian","450","430","37890","34160"
"In post","2022","Human Resources","Human Resources","Black","270","270","36510","34260"
"In post","2022","Human Resources","Human Resources","Mixed","180","170","40820","37280"
"In post","2022","Human Resources","Human Resources","Other ethnicity","40","40","[c]","[c]"
"In post","2022","Human Resources","Human Resources","Undeclared","250","240","36780","33300"
"In post","2022","Human Resources","Human Resources","Unknown","710","690","36810","32800"
"In post","2022","Human Resources","Human Resources","White","6560","6190","39020","34290"
"In post","2022","Human Resources","Legal","Asian","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Legal","Black","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Legal","Mixed","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Legal","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Legal","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Legal","White","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","No function","Asian","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","No function","Black","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","No function","Mixed","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","No function","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","No function","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","No function","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","No function","White","60","60","49160","49240"
"In post","2022","Human Resources","Project Delivery","Asian","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Project Delivery","Black","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Project Delivery","Mixed","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Project Delivery","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Project Delivery","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Project Delivery","White","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Property","Asian","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Property","Black","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Property","Mixed","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Property","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Property","White","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Security","Asian","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Security","Black","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Security","Mixed","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Security","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Security","White","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Unknown","Asian","90","90","37880","35050"
"In post","2022","Human Resources","Unknown","Black","60","50","39930","35200"
"In post","2022","Human Resources","Unknown","Mixed","30","30","[c]","[c]"
"In post","2022","Human Resources","Unknown","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Unknown","Undeclared","30","30","[c]","[c]"
"In post","2022","Human Resources","Unknown","Unknown","80","80","42090","37450"
"In post","2022","Human Resources","Unknown","White","580","550","41050","37450"
"In post","2022","Inspector of Education and Training","No function","Asian","[c]","[c]","[c]","[c]"
"In post","2022","Inspector of Education and Training","No function","Black","30","30","[c]","[c]"
"In post","2022","Inspector of Education and Training","No function","Mixed","[c]","[c]","[c]","[c]"
"In post","2022","Inspector of Education and Training","No function","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2022","Inspector of Education and Training","No function","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Inspector of Education and Training","No function","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Inspector of Education and Training","No function","White","770","750","65480","70500"
"In post","2022","Inspector of Education and Training","Project Delivery","Asian","[c]","[c]","[c]","[c]"
"In post","2022","Inspector of Education and Training","Project Delivery","Black","[c]","[c]","[c]","[c]"
"In post","2022","Inspector of Education and Training","Project Delivery","Mixed","[c]","[c]","[c]","[c]"
"In post","2022","Inspector of Education and Training","Project Delivery","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2022","Inspector of Education and Training","Project Delivery","White","60","60","75100","75480"
"In post","2022","Intelligence Analysis","Analysis","Asian","[c]","[c]","[c]","[c]"
"In post","2022","Intelligence Analysis","Analysis","Black","[c]","[c]","[c]","[c]"
"In post","2022","Intelligence Analysis","Analysis","Mixed","[c]","[c]","[c]","[c]"
"In post","2022","Intelligence Analysis","Analysis","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2022","Intelligence Analysis","Analysis","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Intelligence Analysis","Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Intelligence Analysis","Analysis","White","70","70","40490","37350"
"In post","2022","Intelligence Analysis","Counter Fraud","Asian","[c]","[c]","[c]","[c]"
"In post","2022","Intelligence Analysis","Counter Fraud","Black","[c]","[c]","[c]","[c]"
"In post","2022","Intelligence Analysis","Counter Fraud","Mixed","[c]","[c]","[c]","[c]"
"In post","2022","Intelligence Analysis","Counter Fraud","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2022","Intelligence Analysis","Counter Fraud","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Intelligence Analysis","Counter Fraud","Unknown","50","40","[c]","[c]"
"In post","2022","Intelligence Analysis","Counter Fraud","White","170","160","39750","37610"
"In post","2022","Intelligence Analysis","No function","Asian","[c]","[c]","[c]","[c]"
"In post","2022","Intelligence Analysis","No function","Black","[c]","[c]","[c]","[c]"
"In post","2022","Intelligence Analysis","No function","Mixed","[c]","[c]","[c]","[c]"
"In post","2022","Intelligence Analysis","No function","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2022","Intelligence Analysis","No function","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Intelligence Analysis","No function","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Intelligence Analysis","No function","White","380","370","30510","27700"
