"Status","Year","Age","Responsibility_level","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","30-39","SCS","Finance","60","50","80230","75830"
"In post","2022","30-39","SCS","Human Resources","40","30","[c]","[c]"
"In post","2022","30-39","SCS","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2022","30-39","SCS","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","30-39","SCS","International Trade","40","30","[c]","[c]"
"In post","2022","30-39","SCS","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","30-39","SCS","Legal","[c]","[c]","[c]","[c]"
"In post","2022","30-39","SCS","Medicine","40","30","[c]","[c]"
"In post","2022","30-39","SCS","Operational Delivery","90","80","81870","75640"
"In post","2022","30-39","SCS","Operational Research","[c]","[c]","[c]","[c]"
"In post","2022","30-39","SCS","Other","[c]","[c]","[c]","[c]"
"In post","2022","30-39","SCS","Policy","390","370","77140","74100"
"In post","2022","30-39","SCS","Project Delivery","50","50","[c]","[c]"
"In post","2022","30-39","SCS","Property","[c]","[c]","[c]","[c]"
"In post","2022","30-39","SCS","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2022","30-39","SCS","Security","[c]","[c]","[c]","[c]"
"In post","2022","30-39","SCS","Social Research","[c]","[c]","[c]","[c]"
"In post","2022","30-39","SCS","Statistics","[c]","[c]","[c]","[c]"
"In post","2022","30-39","SCS","Tax","[c]","[c]","[c]","[c]"
"In post","2022","30-39","SCS","Unknown","190","180","81070","76370"
"In post","2022","30-39","SEO/HEO","Commercial","950","920","36680","36820"
"In post","2022","30-39","SEO/HEO","Communications","670","650","38120","38160"
"In post","2022","30-39","SEO/HEO","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2022","30-39","SEO/HEO","Counter Fraud","200","190","34460","33100"
"In post","2022","30-39","SEO/HEO","Digital, Data and Technology","2450","2410","37410","36840"
"In post","2022","30-39","SEO/HEO","Economics","90","90","37880","38160"
"In post","2022","30-39","SEO/HEO","Finance","1220","1180","37310","36650"
"In post","2022","30-39","SEO/HEO","Geography","70","70","34600","33290"
"In post","2022","30-39","SEO/HEO","Human Resources","1030","990","35980","35310"
"In post","2022","30-39","SEO/HEO","Inspector of Education and Training","60","60","49800","51360"
"In post","2022","30-39","SEO/HEO","Intelligence Analysis","380","380","36700","35500"
"In post","2022","30-39","SEO/HEO","Internal Audit","90","80","38140","39200"
"In post","2022","30-39","SEO/HEO","International Trade","190","180","36870","38160"
"In post","2022","30-39","SEO/HEO","Knowledge and Information Management","220","210","35900","35070"
"In post","2022","30-39","SEO/HEO","Legal","920","890","38860","37930"
"In post","2022","30-39","SEO/HEO","Medicine","200","180","39460","39030"
"In post","2022","30-39","SEO/HEO","Operational Delivery","8490","8250","35930","34600"
"In post","2022","30-39","SEO/HEO","Operational Research","150","150","39710","38220"
"In post","2022","30-39","SEO/HEO","Other","1370","1320","35510","34770"
"In post","2022","30-39","SEO/HEO","Planning","40","40","[c]","[c]"
"In post","2022","30-39","SEO/HEO","Planning Inspectors","[c]","[c]","[c]","[c]"
"In post","2022","30-39","SEO/HEO","Policy","3730","3630","37340","37000"
"In post","2022","30-39","SEO/HEO","Project Delivery","2110","2050","37030","37550"
"In post","2022","30-39","SEO/HEO","Property","580","560","37090","36450"
"In post","2022","30-39","SEO/HEO","Psychology","420","410","36860","33120"
"In post","2022","30-39","SEO/HEO","Science and Engineering","1860","1810","37420","38070"
"In post","2022","30-39","SEO/HEO","Security","390","380","37890","36840"
"In post","2022","30-39","SEO/HEO","Social Research","250","230","37670","38340"
"In post","2022","30-39","SEO/HEO","Statistics","360","350","37670","38160"
"In post","2022","30-39","SEO/HEO","Tax","2400","2350","35030","33370"
"In post","2022","30-39","SEO/HEO","Unknown","3490","3410","37210","36130"
"In post","2022","30-39","SEO/HEO","Veterinarian","80","80","37310","37080"
"In post","2022","30-39","Unknown","Commercial","60","60","37530","37400"
"In post","2022","30-39","Unknown","Communications","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Unknown","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Unknown","Finance","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Unknown","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Unknown","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Unknown","Operational Delivery","4430","4100","29040","27980"
"In post","2022","30-39","Unknown","Other","440","440","37330","34460"
"In post","2022","30-39","Unknown","Policy","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Unknown","Project Delivery","120","110","40180","39860"
"In post","2022","30-39","Unknown","Property","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Unknown","Science and Engineering","180","180","41780","40490"
"In post","2022","30-39","Unknown","Security","30","30","[c]","[c]"
"In post","2022","30-39","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","40-49","AA/AO","Commercial","60","60","22350","21390"
"In post","2022","40-49","AA/AO","Communications","30","30","[c]","[c]"
"In post","2022","40-49","AA/AO","Counter Fraud","310","260","22470","21260"
"In post","2022","40-49","AA/AO","Digital, Data and Technology","110","100","22150","21300"
"In post","2022","40-49","AA/AO","Finance","190","170","21870","21260"
"In post","2022","40-49","AA/AO","Geography","[c]","[c]","[c]","[c]"
"In post","2022","40-49","AA/AO","Human Resources","210","190","22120","21380"
"In post","2022","40-49","AA/AO","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2022","40-49","AA/AO","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","40-49","AA/AO","International Trade","[c]","[c]","[c]","[c]"
"In post","2022","40-49","AA/AO","Knowledge and Information Management","60","50","21920","21340"
"In post","2022","40-49","AA/AO","Legal","50","50","22120","22080"
"In post","2022","40-49","AA/AO","Medicine","110","100","22580","23280"
"In post","2022","40-49","AA/AO","Operational Delivery","19940","17670","22960","21480"
"In post","2022","40-49","AA/AO","Operational Research","[c]","[c]","[c]","[c]"
"In post","2022","40-49","AA/AO","Other","1920","1750","21390","21260"
"In post","2022","40-49","AA/AO","Planning","[c]","[c]","[c]","[c]"
"In post","2022","40-49","AA/AO","Policy","90","80","24230","24370"
"In post","2022","40-49","AA/AO","Project Delivery","90","70","22340","21790"
"In post","2022","40-49","AA/AO","Property","170","150","20910","21250"
"In post","2022","40-49","AA/AO","Psychology","[c]","[c]","[c]","[c]"
"In post","2022","40-49","AA/AO","Science and Engineering","120","120","21790","21880"
"In post","2022","40-49","AA/AO","Security","1040","1030","28990","25000"
"In post","2022","40-49","AA/AO","Statistics","[c]","[c]","[c]","[c]"
"In post","2022","40-49","AA/AO","Tax","520","480","21340","21250"
"In post","2022","40-49","AA/AO","Unknown","760","700","23310","22810"
"In post","2022","40-49","EO","Commercial","150","140","26740","26350"
"In post","2022","40-49","EO","Communications","120","110","27820","27270"
"In post","2022","40-49","EO","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2022","40-49","EO","Counter Fraud","740","680","28170","27570"
"In post","2022","40-49","EO","Digital, Data and Technology","730","710","27960","27570"
"In post","2022","40-49","EO","Economics","[c]","[c]","[c]","[c]"
"In post","2022","40-49","EO","Finance","520","490","27070","26670"
"In post","2022","40-49","EO","Geography","[c]","[c]","[c]","[c]"
"In post","2022","40-49","EO","Human Resources","360","330","27730","27130"
"In post","2022","40-49","EO","Intelligence Analysis","370","350","27510","27370"
"In post","2022","40-49","EO","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","40-49","EO","International Trade","[c]","[c]","[c]","[c]"
"In post","2022","40-49","EO","Knowledge and Information Management","130","120","27530","27430"
"In post","2022","40-49","EO","Legal","330","320","28190","26820"
"In post","2022","40-49","EO","Medicine","60","50","32600","31530"
"In post","2022","40-49","EO","Operational Delivery","19250","17810","28000","27570"
"In post","2022","40-49","EO","Operational Research","[c]","[c]","[c]","[c]"
"In post","2022","40-49","EO","Other","1810","1720","27330","27570"
"In post","2022","40-49","EO","Planning","[c]","[c]","[c]","[c]"
"In post","2022","40-49","EO","Policy","380","360","28410","28650"
"In post","2022","40-49","EO","Project Delivery","270","250","27090","26820"
"In post","2022","40-49","EO","Property","280","260","27290","26880"
"In post","2022","40-49","EO","Psychology","60","60","27350","27380"
"In post","2022","40-49","EO","Science and Engineering","240","230","26800","26670"
"In post","2022","40-49","EO","Security","250","240","34050","30110"
"In post","2022","40-49","EO","Social Research","[c]","[c]","[c]","[c]"
"In post","2022","40-49","EO","Statistics","[c]","[c]","[c]","[c]"
"In post","2022","40-49","EO","Tax","790","750","27240","26820"
"In post","2022","40-49","EO","Unknown","1000","950","28400","27570"
"In post","2022","40-49","EO","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2022","40-49","G6/G7","Commercial","410","400","58010","55830"
"In post","2022","40-49","G6/G7","Communications","390","370","58490","56450"
"In post","2022","40-49","G6/G7","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2022","40-49","G6/G7","Counter Fraud","50","50","[c]","[c]"
"In post","2022","40-49","G6/G7","Digital, Data and Technology","1960","1930","59150","57430"
"In post","2022","40-49","G6/G7","Economics","170","160","63510","61440"
"In post","2022","40-49","G6/G7","Finance","850","830","59120","57540"
"In post","2022","40-49","G6/G7","Geography","[c]","[c]","[c]","[c]"
"In post","2022","40-49","G6/G7","Human Resources","670","650","57730","56670"
"In post","2022","40-49","G6/G7","Inspector of Education and Training","170","170","74900","75500"
"In post","2022","40-49","G6/G7","Intelligence Analysis","80","80","59920","57680"
"In post","2022","40-49","G6/G7","Internal Audit","60","60","58330","57210"
"In post","2022","40-49","G6/G7","International Trade","140","130","57300","57180"
"In post","2022","40-49","G6/G7","Knowledge and Information Management","110","100","56920","56120"
"In post","2022","40-49","G6/G7","Legal","2100","1910","59700","58970"
"In post","2022","40-49","G6/G7","Medicine","270","230","74200","77530"
"In post","2022","40-49","G6/G7","Operational Delivery","2580","2520","58090","55210"
"In post","2022","40-49","G6/G7","Operational Research","160","140","55270","54950"
"In post","2022","40-49","G6/G7","Other","640","620","61390","58290"
"In post","2022","40-49","G6/G7","Planning","[c]","[c]","[c]","[c]"
"In post","2022","40-49","G6/G7","Planning Inspectors","110","100","53250","47660"
"In post","2022","40-49","G6/G7","Policy","3480","3330","59200","57810"
"In post","2022","40-49","G6/G7","Project Delivery","1530","1500","57810","55210"
"In post","2022","40-49","G6/G7","Property","420","420","57580","56500"
"In post","2022","40-49","G6/G7","Psychology","70","70","65650","65520"
"In post","2022","40-49","G6/G7","Science and Engineering","1110","1070","55540","54540"
"In post","2022","40-49","G6/G7","Security","140","140","58900","57610"
"In post","2022","40-49","G6/G7","Social Research","110","110","58670","59640"
"In post","2022","40-49","G6/G7","Statistics","260","240","59450","59740"
"In post","2022","40-49","G6/G7","Tax","710","690","59060","55210"
"In post","2022","40-49","G6/G7","Unknown","2540","2460","62700","62170"
"In post","2022","40-49","G6/G7","Veterinarian","60","60","53410","52070"
"In post","2022","40-49","SCS","Commercial","40","40","[c]","[c]"
"In post","2022","40-49","SCS","Communications","60","60","89030","85900"
"In post","2022","40-49","SCS","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2022","40-49","SCS","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","40-49","SCS","Digital, Data and Technology","130","130","91880","90000"
"In post","2022","40-49","SCS","Economics","30","30","[c]","[c]"
"In post","2022","40-49","SCS","Finance","130","130","84450","78470"
"In post","2022","40-49","SCS","Human Resources","110","100","87390","78300"
"In post","2022","40-49","SCS","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"In post","2022","40-49","SCS","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2022","40-49","SCS","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","40-49","SCS","International Trade","40","40","[c]","[c]"
"In post","2022","40-49","SCS","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","40-49","SCS","Legal","150","150","85000","80670"
"In post","2022","40-49","SCS","Medicine","110","100","96410","95140"
"In post","2022","40-49","SCS","Operational Delivery","320","320","88160","79590"
"In post","2022","40-49","SCS","Operational Research","[c]","[c]","[c]","[c]"
"In post","2022","40-49","SCS","Other","130","120","92570","85400"
"In post","2022","40-49","SCS","Planning","[c]","[c]","[c]","[c]"
"In post","2022","40-49","SCS","Policy","910","870","84240","77650"
"In post","2022","40-49","SCS","Project Delivery","130","130","87970","83000"
"In post","2022","40-49","SCS","Property","[c]","[c]","[c]","[c]"
"In post","2022","40-49","SCS","Science and Engineering","30","30","[c]","[c]"
"In post","2022","40-49","SCS","Security","[c]","[c]","[c]","[c]"
"In post","2022","40-49","SCS","Social Research","[c]","[c]","[c]","[c]"
"In post","2022","40-49","SCS","Statistics","[c]","[c]","[c]","[c]"
"In post","2022","40-49","SCS","Tax","[c]","[c]","[c]","[c]"
"In post","2022","40-49","SCS","Unknown","490","480","94250","85040"
"In post","2022","40-49","SEO/HEO","Commercial","800","770","37630","37400"
"In post","2022","40-49","SEO/HEO","Communications","500","480","39070","39000"
"In post","2022","40-49","SEO/HEO","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2022","40-49","SEO/HEO","Counter Fraud","330","320","35180","33720"
"In post","2022","40-49","SEO/HEO","Digital, Data and Technology","2560","2500","38420","38160"
"In post","2022","40-49","SEO/HEO","Economics","30","30","[c]","[c]"
"In post","2022","40-49","SEO/HEO","Finance","1490","1440","37510","36820"
"In post","2022","40-49","SEO/HEO","Geography","60","60","36210","33290"
"In post","2022","40-49","SEO/HEO","Human Resources","1120","1070","36980","36740"
"In post","2022","40-49","SEO/HEO","Inspector of Education and Training","130","130","50140","51360"
"In post","2022","40-49","SEO/HEO","Intelligence Analysis","300","290","37010","36020"
"In post","2022","40-49","SEO/HEO","Internal Audit","110","100","40800","40580"
"In post","2022","40-49","SEO/HEO","International Trade","90","80","37360","38160"
"In post","2022","40-49","SEO/HEO","Knowledge and Information Management","290","270","36870","36950"
"In post","2022","40-49","SEO/HEO","Legal","980","920","39330","38190"
"In post","2022","40-49","SEO/HEO","Medicine","230","200","41120","39630"
"In post","2022","40-49","SEO/HEO","Operational Delivery","10220","9870","37260","36050"
"In post","2022","40-49","SEO/HEO","Operational Research","70","70","39070","38210"
"In post","2022","40-49","SEO/HEO","Other","1550","1490","36900","36500"
"In post","2022","40-49","SEO/HEO","Planning","[c]","[c]","[c]","[c]"
"In post","2022","40-49","SEO/HEO","Planning Inspectors","[c]","[c]","[c]","[c]"
"In post","2022","40-49","SEO/HEO","Policy","2450","2340","38110","38160"
"In post","2022","40-49","SEO/HEO","Project Delivery","2000","1930","37690","38160"
"In post","2022","40-49","SEO/HEO","Property","790","770","37350","36500"
"In post","2022","40-49","SEO/HEO","Psychology","190","170","43590","45830"
"In post","2022","40-49","SEO/HEO","Science and Engineering","1360","1290","38360","38830"
"In post","2022","40-49","SEO/HEO","Security","440","430","39060","37710"
"In post","2022","40-49","SEO/HEO","Social Research","110","100","38030","38340"
"In post","2022","40-49","SEO/HEO","Statistics","190","180","39470","40000"
"In post","2022","40-49","SEO/HEO","Tax","1780","1730","36020","33370"
"In post","2022","40-49","SEO/HEO","Unknown","2560","2470","38890","38580"
"In post","2022","40-49","SEO/HEO","Veterinarian","90","90","38960","37530"
"In post","2022","40-49","Unknown","Commercial","50","50","[c]","[c]"
"In post","2022","40-49","Unknown","Communications","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Unknown","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Unknown","Economics","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Unknown","Finance","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Unknown","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Unknown","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Unknown","Legal","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Unknown","Operational Delivery","4690","4320","32520","31420"
"In post","2022","40-49","Unknown","Other","430","420","41190","35380"
"In post","2022","40-49","Unknown","Planning Inspectors","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Unknown","Policy","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Unknown","Project Delivery","140","140","47010","42280"
"In post","2022","40-49","Unknown","Psychology","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Unknown","Science and Engineering","110","110","50030","50000"
"In post","2022","40-49","Unknown","Security","60","60","34810","33950"
"In post","2022","40-49","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","50-59","AA/AO","Commercial","110","100","23300","21960"
"In post","2022","50-59","AA/AO","Communications","50","50","22110","21710"
"In post","2022","50-59","AA/AO","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2022","50-59","AA/AO","Counter Fraud","530","450","22340","21260"
"In post","2022","50-59","AA/AO","Digital, Data and Technology","150","140","22380","21830"
"In post","2022","50-59","AA/AO","Economics","[c]","[c]","[c]","[c]"
"In post","2022","50-59","AA/AO","Finance","300","270","22030","21490"
"In post","2022","50-59","AA/AO","Geography","[c]","[c]","[c]","[c]"
"In post","2022","50-59","AA/AO","Human Resources","360","330","21970","21830"
"In post","2022","50-59","AA/AO","Intelligence Analysis","40","30","[c]","[c]"
"In post","2022","50-59","AA/AO","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","50-59","AA/AO","International Trade","[c]","[c]","[c]","[c]"
"In post","2022","50-59","AA/AO","Knowledge and Information Management","130","120","22420","21830"
"In post","2022","50-59","AA/AO","Legal","100","90","22370","22080"
"In post","2022","50-59","AA/AO","Medicine","60","60","22550","23280"
"In post","2022","50-59","AA/AO","Operational Delivery","28360","25070","22990","21490"
"In post","2022","50-59","AA/AO","Operational Research","[c]","[c]","[c]","[c]"
"In post","2022","50-59","AA/AO","Other","3870","3660","21360","21260"
"In post","2022","50-59","AA/AO","Planning","[c]","[c]","[c]","[c]"
"In post","2022","50-59","AA/AO","Policy","200","190","24220","24370"
"In post","2022","50-59","AA/AO","Project Delivery","160","140","21970","21260"
"In post","2022","50-59","AA/AO","Property","350","330","20270","20480"
"In post","2022","50-59","AA/AO","Psychology","[c]","[c]","[c]","[c]"
"In post","2022","50-59","AA/AO","Science and Engineering","280","270","22270","22750"
"In post","2022","50-59","AA/AO","Security","1910","1880","26990","21830"
"In post","2022","50-59","AA/AO","Social Research","[c]","[c]","[c]","[c]"
"In post","2022","50-59","AA/AO","Statistics","[c]","[c]","[c]","[c]"
"In post","2022","50-59","AA/AO","Tax","450","420","21610","21250"
"In post","2022","50-59","AA/AO","Unknown","970","910","23760","23230"
"In post","2022","50-59","EO","Commercial","200","190","27590","27380"
"In post","2022","50-59","EO","Communications","130","120","28300","28590"
"In post","2022","50-59","EO","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2022","50-59","EO","Counter Fraud","1370","1280","28340","27570"
"In post","2022","50-59","EO","Digital, Data and Technology","840","800","28310","27570"
"In post","2022","50-59","EO","Economics","[c]","[c]","[c]","[c]"
"In post","2022","50-59","EO","Finance","670","650","27520","26780"
"In post","2022","50-59","EO","Geography","40","40","[c]","[c]"
"In post","2022","50-59","EO","Human Resources","460","430","27930","27570"
"In post","2022","50-59","EO","Intelligence Analysis","460","440","28220","27370"
"In post","2022","50-59","EO","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","50-59","EO","International Trade","[c]","[c]","[c]","[c]"
"In post","2022","50-59","EO","Knowledge and Information Management","190","170","28310","27570"
"In post","2022","50-59","EO","Legal","350","330","29010","28920"
"In post","2022","50-59","EO","Medicine","100","90","32260","31530"
"In post","2022","50-59","EO","Operational Delivery","26840","24690","28370","27570"
"In post","2022","50-59","EO","Operational Research","[c]","[c]","[c]","[c]"
"In post","2022","50-59","EO","Other","2850","2720","27520","27570"
"In post","2022","50-59","EO","Planning","[c]","[c]","[c]","[c]"
"In post","2022","50-59","EO","Policy","600","580","29190","29430"
"In post","2022","50-59","EO","Project Delivery","320","290","27940","27570"
"In post","2022","50-59","EO","Property","490","470","27770","27000"
"In post","2022","50-59","EO","Psychology","50","40","[c]","[c]"
"In post","2022","50-59","EO","Science and Engineering","360","360","26920","26670"
"In post","2022","50-59","EO","Security","420","420","35510","31980"
"In post","2022","50-59","EO","Social Research","[c]","[c]","[c]","[c]"
"In post","2022","50-59","EO","Statistics","30","30","[c]","[c]"
"In post","2022","50-59","EO","Tax","910","850","28500","27130"
"In post","2022","50-59","EO","Unknown","890","860","28990","28620"
"In post","2022","50-59","EO","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2022","50-59","G6/G7","Commercial","400","390","60350","58460"
"In post","2022","50-59","G6/G7","Communications","190","190","60670","59730"
"In post","2022","50-59","G6/G7","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2022","50-59","G6/G7","Counter Fraud","70","70","60500","58700"
"In post","2022","50-59","G6/G7","Digital, Data and Technology","1710","1690","59250","57680"
"In post","2022","50-59","G6/G7","Economics","80","70","67110","68050"
"In post","2022","50-59","G6/G7","Finance","900","890","59940","58490"
"In post","2022","50-59","G6/G7","Geography","[c]","[c]","[c]","[c]"
"In post","2022","50-59","G6/G7","Human Resources","740","730","59060","57720"
"In post","2022","50-59","G6/G7","Inspector of Education and Training","250","250","75520","75500"
"In post","2022","50-59","G6/G7","Intelligence Analysis","60","60","61280","59730"
"In post","2022","50-59","G6/G7","Internal Audit","100","100","60360","59310"
"In post","2022","50-59","G6/G7","International Trade","110","100","57650","56400"
"In post","2022","50-59","G6/G7","Knowledge and Information Management","100","100","57990","55330"
"In post","2022","50-59","G6/G7","Legal","1780","1670","61840","61360"
"In post","2022","50-59","G6/G7","Medicine","240","210","76090","78480"
"In post","2022","50-59","G6/G7","Operational Delivery","3140","3100","60220","57680"
"In post","2022","50-59","G6/G7","Operational Research","110","110","57420","57480"
"In post","2022","50-59","G6/G7","Other","620","610","61280","58960"
"In post","2022","50-59","G6/G7","Planning","[c]","[c]","[c]","[c]"
"In post","2022","50-59","G6/G7","Planning Inspectors","120","110","58220","58810"
"In post","2022","50-59","G6/G7","Policy","2410","2350","60210","59540"
"In post","2022","50-59","G6/G7","Project Delivery","1680","1650","58420","55740"
"In post","2022","50-59","G6/G7","Property","640","640","59360","58230"
"In post","2022","50-59","G6/G7","Psychology","[c]","[c]","[c]","[c]"
"In post","2022","50-59","G6/G7","Science and Engineering","1100","1060","57400","56900"
"In post","2022","50-59","G6/G7","Security","200","200","59380","57400"
"In post","2022","50-59","G6/G7","Social Research","50","50","61850","60560"
"In post","2022","50-59","G6/G7","Statistics","130","130","61340","60720"
"In post","2022","50-59","G6/G7","Tax","920","890","60860","57760"
"In post","2022","50-59","G6/G7","Unknown","2000","1960","64250","62170"
"In post","2022","50-59","G6/G7","Veterinarian","40","40","[c]","[c]"
"In post","2022","50-59","SCS","Commercial","40","40","[c]","[c]"
"In post","2022","50-59","SCS","Communications","30","30","[c]","[c]"
"In post","2022","50-59","SCS","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2022","50-59","SCS","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","50-59","SCS","Digital, Data and Technology","110","110","93670","87600"
"In post","2022","50-59","SCS","Economics","[c]","[c]","[c]","[c]"
"In post","2022","50-59","SCS","Finance","130","130","93150","86530"
"In post","2022","50-59","SCS","Geography","[c]","[c]","[c]","[c]"
"In post","2022","50-59","SCS","Human Resources","80","70","86940","81600"
"In post","2022","50-59","SCS","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"In post","2022","50-59","SCS","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2022","50-59","SCS","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","50-59","SCS","International Trade","40","40","[c]","[c]"
"In post","2022","50-59","SCS","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","50-59","SCS","Legal","190","180","90110","83400"
"In post","2022","50-59","SCS","Medicine","120","120","112760","114000"
"In post","2022","50-59","SCS","Operational Delivery","400","390","93260","85430"
"In post","2022","50-59","SCS","Operational Research","[c]","[c]","[c]","[c]"
"In post","2022","50-59","SCS","Other","130","130","99810","89930"
"In post","2022","50-59","SCS","Planning","[c]","[c]","[c]","[c]"
"In post","2022","50-59","SCS","Policy","510","500","91610","81760"
"In post","2022","50-59","SCS","Project Delivery","170","170","93620","86230"
"In post","2022","50-59","SCS","Property","50","50","[c]","[c]"
"In post","2022","50-59","SCS","Psychology","[c]","[c]","[c]","[c]"
"In post","2022","50-59","SCS","Science and Engineering","40","40","[c]","[c]"
"In post","2022","50-59","SCS","Security","[c]","[c]","[c]","[c]"
"In post","2022","50-59","SCS","Social Research","[c]","[c]","[c]","[c]"
"In post","2022","50-59","SCS","Statistics","[c]","[c]","[c]","[c]"
"In post","2022","50-59","SCS","Tax","40","40","[c]","[c]"
"In post","2022","50-59","SCS","Unknown","450","440","104580","95930"
"In post","2022","50-59","SCS","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2022","50-59","SEO/HEO","Commercial","870","850","38490","38330"
"In post","2022","50-59","SEO/HEO","Communications","360","350","38260","37930"
"In post","2022","50-59","SEO/HEO","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2022","50-59","SEO/HEO","Counter Fraud","510","500","35870","34730"
"In post","2022","50-59","SEO/HEO","Digital, Data and Technology","2650","2590","38380","37880"
"In post","2022","50-59","SEO/HEO","Economics","[c]","[c]","[c]","[c]"
"In post","2022","50-59","SEO/HEO","Finance","1830","1780","38060","37100"
"In post","2022","50-59","SEO/HEO","Geography","60","60","36580","33560"
"In post","2022","50-59","SEO/HEO","Human Resources","1210","1160","37650","37000"
"In post","2022","50-59","SEO/HEO","Inspector of Education and Training","160","150","50650","51360"
"In post","2022","50-59","SEO/HEO","Intelligence Analysis","310","310","37530","36810"
"In post","2022","50-59","SEO/HEO","Internal Audit","170","160","42310","42310"
"In post","2022","50-59","SEO/HEO","International Trade","110","100","37160","38300"
"In post","2022","50-59","SEO/HEO","Knowledge and Information Management","340","330","37350","36520"
"In post","2022","50-59","SEO/HEO","Legal","1190","1120","40590","40520"
"In post","2022","50-59","SEO/HEO","Medicine","210","190","40720","39030"
"In post","2022","50-59","SEO/HEO","Operational Delivery","12780","12310","37840","36360"
"In post","2022","50-59","SEO/HEO","Operational Research","50","40","[c]","[c]"
"In post","2022","50-59","SEO/HEO","Other","2260","2200","36700","35310"
"In post","2022","50-59","SEO/HEO","Planning","[c]","[c]","[c]","[c]"
"In post","2022","50-59","SEO/HEO","Planning Inspectors","[c]","[c]","[c]","[c]"
"In post","2022","50-59","SEO/HEO","Policy","2270","2210","38770","38160"
"In post","2022","50-59","SEO/HEO","Project Delivery","2290","2220","38090","38550"
"In post","2022","50-59","SEO/HEO","Property","1190","1160","38690","37360"
"In post","2022","50-59","SEO/HEO","Psychology","70","60","41070","39670"
"In post","2022","50-59","SEO/HEO","Science and Engineering","1510","1460","39170","39650"
"In post","2022","50-59","SEO/HEO","Security","720","710","41280","38160"
"In post","2022","50-59","SEO/HEO","Social Research","40","40","[c]","[c]"
"In post","2022","50-59","SEO/HEO","Statistics","110","110","38960","38340"
"In post","2022","50-59","SEO/HEO","Tax","2240","2160","37460","37930"
"In post","2022","50-59","SEO/HEO","Unknown","2110","2050","39770","39660"
"In post","2022","50-59","SEO/HEO","Veterinarian","50","50","43310","44350"
"In post","2022","50-59","Unknown","Commercial","40","40","[c]","[c]"
"In post","2022","50-59","Unknown","Communications","[c]","[c]","[c]","[c]"
"In post","2022","50-59","Unknown","Digital, Data and Technology","[c]","[c]","[c]","[c]"
